엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
건강기능식품,품목,수입,미국,국가,시기:2022년;수입액:116178만달러
건강기능식품,품목,수입,독일,국가,시기:2022년;수입액:116178만달러
건강기능식품,품목,수입,캐나다,국가,시기:2022년;수입액:116178만달러
건강기능식품,품목,수입,인도,국가,시기:2022년;수입액:116178만달러
건강기능식품,품목,수입,이탈리아,국가,시기:2022년;수입액:116178만달러
건강기능식품,품목,수입,중국,국가,시기:2022년;수입액:116178만달러
건강기능식품,품목,수입,미국,국가,시기:2022년;수입신고건수:73938
건강기능식품,품목,수입,독일,국가,시기:2022년;수입신고건수:73938
건강기능식품,품목,수입,캐나다,국가,시기:2022년;수입신고건수:73938
건강기능식품,품목,수입,인도,국가,시기:2022년;수입신고건수:73938
건강기능식품,품목,수입,이탈리아,국가,시기:2022년;수입신고건수:73938
건강기능식품,품목,수입,중국,국가,시기:2022년;수입신고건수:73938
건강기능식품,품목,수출,프로바이오텍스,품목,시기:2022년;수출액:2306억
건강기능식품,품목,수출,홍삼,품목,시기:2022년;수출액:2306억
건강기능식품,품목,수출,비타민,품목,시기:2022년;수출액:2306억
건강기능식품,품목,수출,무기질,품목,시기:2022년;수출액:2306억
프로바이오텍스,품목,생산,한국,국가,시기:2022년
홍삼,품목,생산,한국,국가,시기:2022년
비타민,품목,생산,한국,국가,시기:2022년
무기질,품목,생산,한국,국가,시기:2022년
건강기능식품,품목,수입,미국,국가,시기:2022년;수입액:1510억
건강기능식품,품목,수입,독일,국가,시기:2022년;수입액:1510억
건강기능식품,품목,수입,캐나다,국가,시기:2022년;수입액:1510억
건강기능식품,품목,수입,인도,국가,시기:2022년;수입액:1510억
건강기능식품,품목,수입,이탈리아,국가,시기:2022년;수입액:1510억
