엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
시리얼,품목,생산,농심킬로그,기업,국가:한국;시기:2023년
그래놀라,품목,생산,농심킬로그,기업,국가:한국;시기:2023년
옥수수,원료,원산지,국내,국가,시기:2023년
견과류,원료,원산지,국내,국가,시기:2023년
과일,원료,원산지,국내,국가,시기:2023년
통곡물,원료,생산,동서식품,기업,국가:한국;시기:2023년
귀리,원료,원산지,국내,국가,시기:2023년
현미,원료,원산지,국내,국가,시기:2023년
그래놀라,품목,시장점유율,시장,시장,시기:2023년
초홀릿,품목,시장점유율,시장,시장,시기:2023년
프로스트,품목,시장점유율,시장,시장,시기:2023년
옥수수,원료,생산,국내,국가,시기:2023년
콤플레이크,품목,수입,국내,국가,시기:2023년
튀긴곡물,품목,수입,국내,국가,시기:2023년
호주,국가,수입,시리얼,국가,시기:2023년
중국,국가,수출,시리얼,국가,시기:2023년
미국,국가,수입,시리얼,국가,시기:2023년
대만,국가,수입,시리얼,국가,시기:2023년
시리얼,품목,수출,곡물가공품,품목,시기:2023년
곡물가공품,품목,수출,국가,국가,시기:2023년
시리얼,품목,수입,곡물가공품,품목,시기:2023년
호르몬,성분,관련,필수아미노산,성분,시기:2023년
신경전달물질,성분,관련,수면조절,기능,시기:2023년
편의용품,품목,생산,시리얼,품목,시기:2023년
On-the-go,용기,포장형태,시리얼,품목,시기:2023년
To-go-Cup,용기,포장형태,시리얼,품목,시기:2023년
