엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
하이트진로,기업,수입,아이서,제품,국가:한국;시기:2025년
하이트진로,기업,수입,참이슬,제품,국가:한국;시기:2025년
로데칠성음료,기업,수입,처음처럼,제품,국가:한국;시기:2027년
로데칠성음료,기업,수입,민트초코주류,제품,국가:한국;시기:2027년
로데칠성음료,기업,수입,민트맛맥주,제품,국가:한국;시기:2027년
로데칠성음료,기업,생산,제로슈거소주,제품,국가:한국;시기:2022년
하이트진로,기업,생산,제로슈거소주,제품,국가:한국;시기:2023년
로데칠성음료,기업,생산,제로슈거소주,제품,국가:한국;시기:2022년
오비맥주,기업,생산,저칼로리맥주,제품,국가:한국;시기:2023년
오비맥주,기업,생산,생크림거품맥주,제품,국가:한국;시기:2024년
GS25,기업,생산,원소주,제품,국가:한국;시기:2023년
GS25,기업,생산,원소주스피릿,제품,국가:한국;시기:2023년
광주요그룹,기업,생산,화요,제품,국가:한국;시기:2005년
원스피리스,기업,생산,원소주,제품,국가:한국;시기:2022년
이마트,기업,생산,일품진로,제품,국가:한국;시기:2022년
이마트,기업,생산,이강주29,제품,국가:한국;시기:2022년
와인,제품,수입,웨스트와일더,브랜드,국가:미국;시기:2023년
와인,제품,수입,베이브(BABE),브랜드,국가:미국;시기:2023년
와인,제품,수입,바로크 버불리 화이트,브랜드,국가:호주;시기:2023년
와인,제품,수입,와인 인어 글라스,브랜드,국가:호주;시기:2023년
