엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
스데디엘러,기업,제조,고수맛,맛,시기:2024년;국가:영국|인도|스페인
스백,기업,제조,고소한맛,맛,시기:2024년;국가:한국
세분일레봉,기업,운영,왕고래밥 교자맛,품목,시기:2024년
농심,기업,제조,농심 동대문업 기먹볶이,품목,시기:2023년
GS25,기업,운영,막구르트,음료,시기:2023년
파리바게뜨,기업,제조,고소한 참기름 식빵,품목,시기:2023년
서울장수,기업,제휴,막걸리,음료,시기:2023년
오뚜기,기업,제휴,참기름,원료,시기:2023년
맥코미,기업,제휴,SpaghettiOs Spicy Original,품목,시기:2023년
민텔,시장조사기관,,시장조사,기관,시기:2024년
Mintel,시장조사기관,,시장조사,기관,시기:2024년
블루베리,과일,사용,과일향이 나는 생수,품목,시기:2024년
패션후르츠,과일,사용,과일향이 나는 생수,품목,시기:2024년
파인애플,과일,사용,과일향이 나는 생수,품목,시기:2024년
복숭아,과일,사용,과일향이 나는 생수,품목,시기:2024년
영국,국가,조사,소비자,인구,시기:2023년
인도,국가,조사,소비자,인구,시기:2023년
스페인,국가,조사,소비자,인구,시기:2023년
미국,국가,조사,소비자,인구,시기:2023년
제3문화 키드,인구집단,,문화경험자,인구,시기:2024년
