엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
귀리,oat,생산,귀리,품목,시기:2018년;지역:전세계
오메가3,영양소,강화,시리얼,품목,속성명:오메가3;관계:첨가;시기:최근
시리얼,품목,생산,코코넛미트,원료,속성명:코코넛워터;관계:원료;시기:최근
시리얼,품목,생산,스테아리돈산,영양소,속성명:SDA;관계:첨가;시기:최근
시리얼,품목,생산,설탕시럽,원료,속성명:설탕;관계:첨가;시기:최근
시리얼,품목,생산,전분,원료,속성명:전분;관계:원료;시기:최근
시리얼,품목,생산,감미료,원료,속성명:감미료;관계:원료;시기:최근
시리얼,품목,생산,밀글루텐,원료,속성명:밀글루텐;관계:원료;시기:최근
시리얼,품목,생산,전분,원료,속성명:전분;관계:원료;시기:최근
시리얼,품목,생산,아세트산나트륨,첨가제,속성명:아세트산나트륨;관계:첨가;시기:최근
시리얼,품목,생산,알긴산염,첨가제,속성명:알긴산염;관계:첨가;시기:최근
시리얼,품목,생산,젤라틴,첨가제,속성명:젤라틴;관계:첨가;시기:최근
시리얼,품목,생산,감미료,원료,속성명:감미료;관계:원료;시기:최근
냉동면류,품목,생산,밀가루,원료,시기:2010년대
냉동면류,품목,생산,전분,원료,시기:2010년대
냉동면류,품목,생산,유지,원료,시기:2010년대
냉동면류,품목,생산,알긴산염,첨가제,시기:2010년대
냉동면류,품목,생산,수분조절제,첨가제,시기:2010년대
냉동면류,품목,생산,콜라겐펩타이드,첨가제,시기:최근
냉동면류,품목,생산,이소티오시아네이트,첨가제,시기:최근
냉동면류,품목,생산,감자전분,원료,시기:최근
냉동면류,품목,생산,쌀,원료,시기:최근
냉동면류,품목,생산,유지,원료,시기:최근
초밥,품목,생산,밥,원료,시기:최근
초밥,품목,생산,초밥용쌀,원료,시기:최근
초밥,품목,생산,조미액,원료,시기:최근
초밥,품목,생산,육수,원료,시기:최근
초밥,품목,생산,식초,원료,시기:최근
초밥,품목,생산,소금,원료,시기:최근
초밥,품목,생산,감미료,원료,시기:최근
초밥,품목,생산,젤라틴,첨가제,시기:최근
초밥,품목,생산,레토르트살균기술,기술,시기:최근
감자,품목,생산,감자,원료,시기:최근
감자,품목,생산,감자조각,원료,시기:최근
감자,품목,생산,감자전분,원료,시기:최근
감자,품목,생산,감자전분,가공품,시기:최근
감자,품목,생산,감자,원료,시기:최근
감자,품목,생산,감자,원료,시기:최근
감자,품목,생산,감자,원료,시기:최근
