엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
러시아,국가,수입,신선식품,품목,시기:2023;관계:수입량:297968;시기:2024년1월4일
러시아,국가,수입,가공식품,품목,시기:2023;관계:수입량:193629;시기:2024년1월4일
러시아,국가,수입,농산물,품목,시기:2023;관계:수입량:190308;시기:2024년1월4일
러시아,국가,수입,축산물,품목,시기:2023;관계:수입량:2330;시기:2024년1월4일
러시아,국가,수입,임산물,품목,시기:2023;관계:수입량:987;시기:2024년1월4일
한국,국가,수출,농산물,품목,시기:2023;관계:수출량:19362;시기:2024년1월4일
한국,국가,수출,가공식품,품목,시기:2023;관계:수출량:19362;시기:2024년1월4일
한국,국가,수출,농산물,품목,시기:2023;관계:수출량:19362;시기:2024년1월4일
한국,국가,수출,축산물,품목,시기:2023;관계:수출량:19362;시기:2024년1월4일
한국,국가,수출,임산물,품목,시기:2023;관계:수출량:19362;시기:2024년1월4일
러시아,국가,수입,한국산김치,품목,시기:2023;관계:수입량:8530;시기:2024년1월4일
러시아,국가,수입,한국산인스턴트라면,품목,시기:2023;관계:수입량:15086;시기:2024년1월4일
러시아,국가,수입,한국산양파,품목,시기:2023;관계:수입량:0;시기:2024년1월4일
러시아,국가,수입,한국산가공식품,품목,시기:2023;관계:수입량:15086;시기:2024년1월4일
러시아,국가,수입,한국산딸기,품목,시기:2023;관계:수입량:0;시기:2024년1월4일
러시아,국가,수입,한국산양파,품목,시기:2023;관계:수입량:0;시기:2024년1월4일
러시아,국가,수입,한국산김치,품목,시기:2023;관계:수입량:8530;시기:2024년1월4일
러시아,국가,수입,한국산인스턴트라면,품목,시기:2023;관계:수입량:15086;시기:2024년1월4일
러시아,국가,수입,한국산양파,품목,시기:2023;관계:수입량:0;시기:2024년1월4일
