엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,한국산 농식품,품목,수입액:21193554500;시기:2022년
미국,국가,수입,한국산 농림축산식품,품목,수입액:14599010000;시기:2022년
미국,국가,수입,한국산 농산물,품목,수입액:10158190000;시기:2022년
미국,국가,수입,한국산 축산물,품목,수입액:70041000;시기:2022년
미국,국가,수입,한국산 임산물,품목,수입액:1225730000;시기:2022년
한국산 농식품,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 농산물,품목,수출,미국,국가,수출액:951660400;시기:2022년
한국산 농림축산식품,품목,수출,미국,국가,수출액:1206184000;시기:2022년
한국산 농식품,품목,수출,미국,국가,수출액:34395077;시기:2022년
미국,국가,수입,한국산 식품,품목,수입액:21193554500;시기:2022년
한국산 식품,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 식품,품목,수출,미국,국가,수출액:951660400;시기:2022년
미국,국가,수입,한국산 식품첨가물,품목,수입액:21193554500;시기:2022년
한국산 식품첨가물,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 식품첨가물,품목,수출,미국,국가,수출액:951660400;시기:2022년
미국,국가,수입,한국산 식품라벨,품목,수입액:21193554500;시기:2022년
한국산 식품라벨,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 식품라벨,품목,수출,미국,국가,수출액:951660400;시기:2022년
미국,국가,수입,한국산 유기농인증,품목,수입액:21193554500;시기:2022년
한국산 유기농인증,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 유기농인증,품목,수출,미국,국가,수출액:951660400;시기:2022년
미국,국가,수입,한국산 할랄인증,품목,수입액:21193554500;시기:2022년
한국산 할랄인증,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 할랄인증,품목,수출,미국,국가,수출액:951660400;시기:2022년
미국,국가,수입,한국산 코셔인증,품목,수입액:21193554500;시기:2022년
한국산 코셔인증,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 코셔인증,품목,수출,미국,국가,수출액:951660400;시기:2022년
미국,국가,수입,한국산 글루텐프리인증,품목,수입액:21193554500;시기:2022년
한국산 글루텐프리인증,품목,수출,미국,국가,수출액:137280500;시기:2022년
한국산 글루텐프리인증,품목,수출,미국,국가,수출액:951660400;시기:2022년
