엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
싱가포르,국가,수출,한국,국가,시기:2018~2022
싱가포르,국가,수입,한국,국가,시기:2018~2022
싱가포르,국가,수입,중국,국가,시기:2018~2022
싱가포르,국가,수입,말레이시아,국가,시기:2018~2022
싱가포르,국가,수입,프랑스,국가,시기:2018~2022
싱가포르,국가,수입,미국,국가,시기:2018~2022
싱가포르,국가,수입,호주,국가,시기:2018~2022
싱가포르,국가,수입,인도네시아,국가,시기:2018~2022
싱가포르,국가,수입,태국,국가,시기:2018~2022
싱가포르,국가,수입,베트남,국가,시기:2018~2022
싱가포르,국가,수입,필리핀,국가,시기:2018~2022
싱가포르,국가,수입,홍콩,국가,시기:2018~2022
싱가포르,국가,수입,한국,국가,시기:2018~2022
한국,국가,수출,싱가포르,국가,시기:2018~2022
한국,국가,수출,미국,국가,시기:2018~2022
한국,국가,수출,중국,국가,시기:2018~2022
한국,국가,수출,일본,국가,시기:2018~2022
한국,국가,수출,말레이시아,국가,시기:2018~2022
한국,국가,수출,태국,국가,시기:2018~2022
한국,국가,수출,베트남,국가,시기:2018~2022
한국,국가,수출,필리핀,국가,시기:2018~2022
한국,국가,수출,홍콩,국가,시기:2018~2022
한국,국가,수출,한국,국가,시기:2018~2022
한국,국가,수출,싱가포르,국가,시기:2018~2022
싱가포르,국가,수입,한국,국가,시기:2018~2022
싱가포르,국가,수입,말레이시아,국가,시기:2018~2022
싱가포르,국가,수입,프랑스,국가,시기:2018~2022
싱가포르,국가,수입,중국,국가,시기:2018~2022
싱가포르,국가,수입,미국,국가,시기:2018~2022
싱가포르,국가,수입,호주,국가,시기:2018~2022
싱가포르,국가,수입,인도네시아,국가,시기:2018~2022
싱가포르,국가,수입,태국,국가,시기:2018~2022
싱가포르,국가,수입,베트남,국가,시기:2018~2022
싱가포르,국가,수입,필리핀,국가,시기:2018~2022
싱가포르,국가,수입,홍콩,국가,시기:2018~2022
싱가포르,국가,수입,한국,국가,시기:2018~2022
조제식료품,품목,수출,한국,국가,시기:2018~2022
포도주,품목,수출,한국,국가,시기:2018~2022
위스키류,품목,수출,한국,국가,시기:2018~2022
맥아추출물기타,품목,수출,한국,국가,시기:2018~2022
발포성포도주,품목,수출,한국,국가,시기:2018~2022
초콜릿,품목,수출,한국,국가,시기:2018~2022
초콜릿조제품기타,품목,수출,한국,국가,시기:2018~2022
맥아추출물,품목,수출,한국,국가,시기:2018~2022
포도주(2L이하),품목,수출,한국,국가,시기:2018~2022
우유,품목,수출,한국,국가,시기:2018~2022
포도즙증류주,품목,수입,싱가포르,국가,시기:2018~2022
소의지방기타,품목,수입,싱가포르,국가,시기:2018~2022
조제식료품,품목,수입,싱가포르,국가,시기:2018~2022
위스키류,품목,수입,싱가포르,국가,시기:2018~2022
포도주(2L이하),품목,수입,싱가포르,국가,시기:2018~2022
발포성포도주,품목,수입,싱가포르,국가,시기:2018~2022
냉장돼지고기,품목,수입,싱가포르,국가,시기:2018~2022
절단한냉동닭고기,품목,수입,싱가포르,국가,시기:2018~2022
가금류,품목,수입,싱가포르,국가,시기:2021년 이후
가금류,품목,수출,한국,국가,시기:2021년 이후
가금류,품목,수출,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,한국,국가,시기:2021년 이후
가금류,품목,수출,한국,국가,시기:2021년 이후
가금류,품목,수출,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,한국,국가,시기:2021년 이후
가금류,품목,수출,한국,국가,시기:2021년 이후
가금류,품목,수출,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,한국,국가,시기:2021년 이후
가금류,품목,수출,한국,국가,시기:2021년 이후
가금류,품목,수출,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,한국,국가,시기:2021년 이후
가금류,품목,수출,한국,국가,시기:2021년 이후
가금류,품목,수출,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,싱가포르,국가,시기:2021년 이후
가금류,품목,수입,한국,국가,시기:2021년 이후
가금류,품목,수출,한국,국가,시기:2021년 이후
