엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,수입,팜유,품목,시기:2023년1월
인도네시아,국가,수입,팜유(조유),품목,시기:2023년1월
인도네시아,국가,수입,팜핵유기타,품목,시기:2023년1월
인도네시아,국가,수입,마가린기타,품목,시기:2023년1월
인도네시아,국가,수입,식물성지방분획물,품목,시기:2023년1월
인도네시아,국가,수입,볶지않은커피,품목,시기:2023년1월
인도네시아,국가,수입,유박기타,품목,시기:2023년1월
인도네시아,국가,수입,조제식료품,품목,시기:2023년1월
인도네시아,국가,수입,코코아버터,품목,시기:2023년1월
인도네시아,국가,수입,밀기타,품목,시기:2023년1월
인도네시아,국가,수입,대두유추출유박,품목,시기:2023년1월
인도네시아,국가,수입,사탕수수기타,품목,시기:2023년1월
한국,국가,수출,인도네시아,국가,시기:2023년1월
한국,국가,수출,커피크리머,품목,시기:2023년1월
한국,국가,수출,기타무알콜음료,품목,시기:2023년1월
한국,국가,수출,라면,품목,시기:2023년1월
한국,국가,수출,건조김,품목,시기:2023년1월
한국,국가,수출,수출신고서,문서,시기:2023년1월
한국,국가,수출,포장명세서,문서,시기:2023년1월
한국,국가,수출,관세청UNIPASS,시스템,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역증명서,문서,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
한국,국가,수출,수출검역,절차,시기:2023년1월
