엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,생산,사과주스,식품,국가:일본;시기:2023년
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,모니터링검사강화,파툴린,성분,성분명:파툴린;시기:2023년
한국산사과주스,식품,수입검사,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,검사,파툴린,성분,성분명:파툴린
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,수입검사,파툴린,성분,성분명:파툴린
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,검사,파툴린,성분,성분명:파툴린
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,수입검사,파툴린,성분,성분명:파툴린
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,검사,파툴린,성분,성분명:파툴린
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
한국산사과주스,식품,수입검사,파툴린,성분,성분명:파툴린
한국산사과주스,식품,수입,일본,국가,국가:일본;시기:2023년
