엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
UAE,국가,시장규모,딸기,품목,시기:2024;시장규모:3.8조원
UAE,국가,시장규모,베리류및포도,품목,시기:2023;시장규모:4939억원
UAE,국가,시장규모,신선과일,품목,시기:2023;시장규모:3.8조원
UAE,국가,시장성장률,딸기,품목,시기:2024;성장률:4.3%
UAE,국가,시장성장률,베리류및포도,품목,시기:2024;성장률:4.2%
UAE,국가,HS CODE 0810.10 수입액,딸기,품목,시기:2023;수입액:720억 원
UAE,국가,HS CODE 0810.10 수입액,대한국 수입액,수입,시기:2019-2023;수입액:6674만 원
UAE,국가,수입량,딸기,품목,시기:2023;수입량:300만톤
UAE,국가,수입량,베리류및포도,품목,시기:2023;수입량:약300만톤
UAE,국가,수입량,신선과일,품목,시기:2023;수입량:약300만톤
UAE,국가,수입액,한국산딸기,품목,시기:2023;수입액:6674만 원
UAE,국가,수입액,미국산딸기,품목,시기:2023;수입액:215억 원
UAE,국가,수입액,남아공산딸기,품목,시기:2023;수입액:134억 원
UAE,국가,시장성장률,신선과일,품목,시기:2024;성장률:4.3%
UAE,국가,시장성장률,베리류및포도,품목,시기:2024;성장률:4.2%
UAE,국가,시장성장률,딸기,품목,시기:2024;성장률:4.3%
UAE,국가,시장규모,딸기,품목,시기:2023;시장규모:4.9조원
UAE,국가,시장규모,베리류및포도,품목,시기:2023;시장규모:4939억 원
UAE,국가,시장규모,신선과일,품목,시기:2023;시장규모:3.8조원
UAE,국가,시장성장률,딸기,품목,시기:2024;성장률:4.3%
UAE,국가,시장성장률,베리류및포도,품목,시기:2024;성장률:4.2%
UAE,국가,시장성장률,신선과일,품목,시기:2024;성장률:4.3%
UAE,국가,수입액,HS CODE 0810.10,품목,시기:2023;수입액:720억 원
UAE,국가,수입액,한국산딸기,품목,시기:2019-2023;수입액:6674만 원
UAE,국가,수입액,미국산딸기,품목,시기:2023;수입액:215억 원
UAE,국가,수입액,남아공산딸기,품목,시기:2023;수입액:134억 원
UAE,국가,시장성장률,딸기,품목,시기:2019-2023;성장률:102.1%
UAE,국가,시장성장률,HS CODE 0810.10,품목,시기:2019-2023;성장률:10.6%
UAE,국가,시장성장률,한국산딸기,품목,시기:2019-2023;성장률:102.1%
UAE,국가,시장성장률,미국산딸기,품목,시기:2019-2023;성장률:9-13%
UAE,국가,시장성장률,남아공산딸기,품목,시기:2019-2023;성장률:9-13%
UAE,국가,시장규모,딸기,품목,시기:2023;시장규모:약4.7조원
UAE,국가,시장규모,베리류및포도,품목,시기:2023;시장규모:약2.59조원
UAE,국가,시장규모,신선과일,품목,시기:2023;시장규모:약3.8조원
UAE,국가,시장성장률,신선과일,품목,시기:2024;성장률:4.3%
UAE,국가,시장성장률,베리류및포도,품목,시기:2024;성장률:4.2%
UAE,국가,시장성장률,딸기,품목,시기:2024;성장률:4.3%
UAE,국가,시장규모,딸기,품목,시기:2023;시장규모:4.9조원
UAE,국가,시장규모,베리류및포도,품목,시기:2023;시장규모:4939억 원
