엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
UAE,국가,시장규모,삼계탕,품목,시기:2024년;시장규모:2.37조원
UAE,국가,시장규모,즉석섭취식품,품목,시기:2023;시장규모:11900억원
UAE,국가,수입액,HS CODE 1602.32,품목,시기:2022;수입액:569억원
UAE,국가,수입액,한국,국가,시기:2022;수입액:55억원
UAE,국가,수입액,말레이시아,국가,시기:2022;수입액:204억 원
UAE,국가,수입액,중국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,프랑스,국가,시기:2022;수입액:52억 원
UAE,국가,시장규모,편의식,품목,시기:2023;시장규모:2.37조원
UAE,국가,시장규모,즉석섭취식품,품목,시기:2023;시장규모:11900억원
UAE,국가,수입액,HS CODE 1602.32,품목,시기:2022;수입액:569억원
UAE,국가,수입액,한국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,말레이시아,국가,시기:2022;수입액:204억 원
UAE,국가,수입액,중국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,프랑스,국가,시기:2022;수입액:52억 원
UAE,국가,수입액,HS CODE 1602.32,품목,시기:2022;수입액:569억 원
UAE,국가,수입액,한국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,말레이시아,국가,시기:2022;수입액:204억 원
UAE,국가,수입액,중국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,프랑스,국가,시기:2022;수입액:52억 원
UAE,국가,시장규모,편의식,품목,시기:2023;시장규모:2.37조원
UAE,국가,시장규모,즉석섭취식품,품목,시기:2023;시장규모:11900억원
UAE,국가,수입액,HS CODE 1602.32,품목,시기:2022;수입액:569억 원
UAE,국가,수입액,한국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,말레이시아,국가,시기:2022;수입액:204억 원
UAE,국가,수입액,중국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,프랑스,국가,시기:2022;수입액:52억 원
UAE,국가,시장규모,편의식,품목,시기:2023;시장규모:2.37조원
UAE,국가,시장규모,즉석섭취식품,품목,시기:2023;시장규모:11900억원
UAE,국가,수입액,HS CODE 1602.32,품목,시기:2022;수입액:569억 원
UAE,국가,수입액,한국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,말레이시아,국가,시기:2022;수입액:204억 원
UAE,국가,수입액,중국,국가,시기:2022;수입액:55억 원
UAE,국가,수입액,프랑스,국가,시기:2022;수입액:52억 원
