엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
네덜란드,국가,시장규모,소스 및 향신료시장,시장,시기:2024;시장규모:1.36조원
네덜란드,국가,시장성장,소스 및 향신료시장,시장,시기:2024;연평균성장률:5.3%
네덜란드,국가,시장규모,기타 소스시장,시장,시기:2023;시장규모:3377억 원
네덜란드,국가,수입규모,핫소스,품목,HS CODE:2103.90;수입액:6630억 원;시기:2023
네덜란드,국가,수입규모,글로벌 수입액,수입액,시기:2023;수입액:6630억 원
네덜란드,국가,수입규모,한국 수입액,수입액,시기:2023;수입액:67억 원;비중:15위
네덜란드,국가,핫소스 브랜드,애스킥킨,브랜드,국적:미국;빈도수:21
네덜란드,국가,핫소스 브랜드,엘헤페,브랜드,국적:미국;빈도수:14
네덜란드,국가,핫소스 브랜드,타바스코,브랜드,국적:미국;빈도수:12
네덜란드,국가,핫소스 브랜드,엘유카테코,브랜드,국적:멕시코;빈도수:8
네덜란드,국가,핫소스 브랜드,포파미스,브랜드,국적:핀란드;빈도수:8
네덜란드,국가,핫소스 브랜드,멜린다스,브랜드,국적:미국;빈도수:3
네덜란드,국가,핫소스,제품명,촉룰라 오리지널,용량:150ml;가격:21244원
네덜란드,국가,핫소스,제품명,포파미스 하바네로,용량:150ml;가격:18785원
네덜란드,국가,핫소스,제품명,멜린다스 그린,용량:355ml;가격:34245원
네덜란드,국가,핫소스,제품명,촉룰라 피망,용량:147ml;가격:15893원
네덜란드,국가,핫소스,제품명,예르밤니,용량:828ml;가격:25712원
네덜란드,국가,핫소스,제품명,마리샤프스,용량:1.19kg;가격:115778원
네덜란드,국가,핫소스,제품명,타바스코 오리지널,용량:350ml;가격:27476원
네덜란드,국가,핫소스,제품명,촉룰라 오리지널,용량:1.89l;가격:49328원
네덜란드,국가,핫소스,제품명,엘유카테코 캐리비안,용량:120ml;가격:11554원
네덜란드,국가,핫소스,제품명,프랭크스레드핫,용량:148ml;가격:19899원
네덜란드,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:47.1%
네덜란드,국가,유통채널,온라인,유통채널,점유율:3.8%
네덜란드,국가,유통채널,드럭스토어,유통채널,점유율:8.2%
네덜란드,국가,유통채널,편의점,유통채널,점유율:6.2%
네덜란드,국가,유통채널,할인점,유통채널,점유율:4.8%
네덜란드,국가,유통채널,전문점,유통채널,점유율:4.8%
네덜란드,국가,유통채널,기타,유통채널,점유율:25.1%
네덜란드,국가,포장재 규제,플라스틱 포장재,규제,규정:EU Directive 2019/904
네덜란드,국가,라벨링,핫소스 라벨,기준,기준사항:제품명,원료명,유통기한,원산지,영양성분
네덜란드,국가,인증,식품안전관리,인증,인증명:HACCP,ISO22000,IFS,BRCGS,FSSC,GMP,유기농
네덜란드,국가,알레르겐표시,표시의무,대상:글루텐,갑각류,계란,어류,두류,유제품,견과류,셀러리,겨자,참깨,이산화황,루핀,연체동물
네덜란드,국가,수출절차,통관,절차,필수:세관등록번호(EORI) 발급
네덜란드,국가,수출절차,통관,혜택,AEO 등록 시 신속통관,검사면제,경쟁력 강화
네덜란드,국가,수출절차,통관,규제,EU 식품안전청(EFSA) 규정 준수 필요
네덜란드,국가,수출절차,포장재,규제,EU 포장재 규제(Directive 2019/904)
네덜란드,국가,수출,관세,세율,한·EU FTA 적용 시 관세 0%
네덜란드,국가,수출,인증,필수,HACCP,ISO22000,IFS,BRCGS,FSSC,유기농
네덜란드,국가,수출,통관,혜택,AEO 등록 시 신속통관,검사면제
네덜란드,국가,수출,라벨링,기준,제품명,원료명,유통기한,원산지,영양성분
네덜란드,국가,수출,포장재,규제,EU 포장재 규제
네덜란드,국가,시장,소비자,주요특성,젊은층,국제요리 관심,매운맛 선호
네덜란드,국가,시장,소비자,주요특성,신선한 재료,국제적 맛,간편성
네덜란드,국가,시장,소비자,주요특성,온라인 리뷰 영향력,매운맛 선호
네덜란드,국가,시장,소비자,주요특성,한국 제품 관심 증가
네덜란드,국가,시장,소비자,주요특성,젊은층,중년층,국제요리 애호가
네덜란드,국가,시장,소비자,주요특성,매운맛,풍미,간편성,다양성
네덜란드,국가,시장,소비자,주요특성,한국 전통 양념,요리 활용,인기 증가
