엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
세레스 오가닉,기업,생산,오가닉 씨위드 치킨,품목,원산지:한국;맛:치킨;시기:2024년;가격:5.29NZD;중량:16g
세레스 오가닉,기업,생산,오가닉 씨위드 데리야키 바베큐,품목,원산지:한국;맛:데리야키 바베큐;시기:2024년;가격:2.29NZD;중량:5g
C사,기업,생산,올리브유 재래김,품목,원산지:한국;맛:올리브유;시기:2024년;가격:4.99NZD;중량:40g
C사,기업,생산,올리브유 참맛김,품목,원산지:한국;맛:올리브유;시기:2024년;가격:4.99NZD;중량:40g
K사,기업,생산,춘식이 도시락김 오리지널,품목,원산지:한국;맛:오리지널;시기:2024년;가격:6.90NZD;중량:45g
W사,기업,생산,W브랜드 완도 파래김,품목,원산지:한국;맛:오리지널;시기:2024년;가격:11.60NZD;중량:64g
Woolworths,기업,수입,시골 올리브유로 구운 김,품목,원산지:한국;맛:올리브유;시기:2024년;가격:2.50NZD;중량:12g
Honest Sea,기업,수입,로스티드 씨 스낵 씨 솔트,품목,원산지:한국;맛:솔트;시기:2024년;가격:15.11AUD;중량:18g
Kirkland,기업,수입,로스티드 씨위드,품목,원산지:한국;맛:오리지널;시기:2024년;가격:24.00AUD;중량:170g
세레스 오가닉,기업,수입,오가닉 씨위드 치킨,품목,원산지:한국;맛:치킨;시기:2024년;가격:5.29NZD;중량:16g
C사,기업,수입,올리브유 재래김,품목,원산지:한국;맛:올리브유;시기:2024년;가격:4.99NZD;중량:40g
K사,기업,수입,춘식이 도시락김 오리지널,품목,원산지:한국;맛:오리지널;시기:2024년;가격:6.90NZD;중량:45g
