엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"대만",국가,생산,김부각,식품품목,시기:2024년
"한국산 스낵",식품품목,생산,한국,국가,시기:2024년
"한국산 스낵",식품품목,수입,대만,국가,시기:2024년
"한국산 김스낵",식품품목,수입,대만,국가,시기:2024년
"한국산 김스낵",식품품목,생산,한국,국가,시기:2024년
"한국산 김스낵",식품품목,대체품,수입 스낵,식품품목,시기:2024년
"한국산 김스낵",식품품목,대체품,국산 스낵,식품품목,시기:2024년
"한국산 김스낵",식품품목,수입,대만,국가,시기:2024년
"한국산 김스낵",식품품목,생산,한국,국가,시기:2024년
"대만",국가,수입,한국산 김스낵,식품품목,시기:2024년
"대만",국가,수입,한국산 스낵,식품품목,시기:2024년
"대만",국가,수입,대만,국가,시기:2024년
"대만",국가,생산,김부각,식품품목,시기:2024년
"대만",국가,생산,스낵,식품품목,시기:2024년
"대만",국가,생산,한국산 김스낵,식품품목,시기:2024년
"대만",국가,생산,한국산 스낵,식품품목,시기:2024년
