엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대만,국가,생산,전복죽,품목,시기:2024년;국가:대만
한국,국가,생산,전복죽,품목,시기:2024년;국가:한국
대만,국가,수입,전복죽,품목,시기:2024년;국가:대만
대만,국가,수입,전복,품목,시기:2024년;국가:대만
한국,국가,생산,전복,품목,시기:2024년;국가:한국
대만,국가,생산,전복,품목,시기:2024년;국가:대만
대만,국가,수입,전복,품목,시기:2024년;국가:대만
대만,국가,수입,연어,품목,시기:2024년;국가:대만
대만,국가,수입,새우,품목,시기:2024년;국가:대만
대만,국가,수입,고기,품목,시기:2024년;국가:대만
대만,국가,수입,야채,품목,시기:2024년;국가:대만
대만,국가,수입,전복죽,품목,시기:2024년;국가:대만
대만,국가,수입,전복,품목,시기:2024년;국가:대만
대만,국가,수입,연어죽,품목,시기:2024년;국가:대만
대만,국가,수입,삼계죽,품목,시기:2024년;국가:대만
대만,국가,수입,흰죽,품목,시기:2024년;국가:대만
대만,국가,수입,전복죽,품목,시기:2024년;국가:대만
대만,국가,수입,전복,품목,시기:2024년;국가:대만
대만,국가,수입,연어죽,품목,시기:2024년;국가:대만
대만,국가,수입,삼계죽,품목,시기:2024년;국가:대만
대만,국가,수입,흰죽,품목,시기:2024년;국가:대만
대만,국가,수입,전복죽,품목,시기:2024년;국가:대만
대만,국가,수입,전복,품목,시기:2024년;국가:대만
대만,국가,수입,연어죽,품목,시기:2024년;국가:대만
대만,국가,수입,삼계죽,품목,시기:2024년;국가:대만
대만,국가,수입,흰죽,품목,시기:2024년;국가:대만
