엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
독일,국가,수입,김,품목,국가:독일;시기:2024년
한국,국가,수출,김,품목,국가:한국;시기:2023년
HS CODE 2008.99,품목,수입,HS CODE 2008.99-5010,품목,시기:2023년;수입액:3458억원
HS CODE 2008.99,품목,수입,HS CODE 2008.99-5010,품목,수입단가:290만 원/톤
한국,국가,수출,김,품목,시기:2023년;수출량:364톤;수출액:158억 원
독일,국가,수입,한국,국가,수입액:180억 원;수입량:503톤;수입단가:3572만 원/톤
한국,국가,수출,김,품목,시기:2022년;수출량:550222톤;수출액:6873억 원
독일,국가,수입,한국,국가,수입액:180억 원;수입량:503톤;수입단가:3572만 원/톤
한국,국가,수출,김,품목,시기:2023년;수출량:364톤;수출액:158억 원
독일,국가,수입,김,품목,시기:2023년;수입액:3458억 원;수입단가:290만 원/톤
한국,국가,생산,김,품목,시기:2022년;생산량:55422톤;생산액:약 55만톤
HS CODE 2008.99,품목,수입,HS CODE 2008.99,품목,시기:2023년;수입액:3458억 원;수입단가:290만 원/톤
독일,국가,수입,김,품목,시기:2023년;수입액:3458억 원
한국,국가,수출,김,품목,시기:2023년;수출량:364톤;수출액:158억 원
한국,국가,수출,김,품목,시기:2022년;수출량:550222톤;수출액:6873억 원
독일,국가,수입,한국,국가,수입액:180억 원;수입량:503톤;수입단가:3572만 원/톤
한국,국가,생산,김,품목,시기:2022년;생산량:55422톤
독일,국가,수입,김,품목,시기:2023년;수입액:3458억 원
한국,국가,수출,김,품목,시기:2023년;수출량:364톤
독일,국가,수입,김,품목,시기:2023년;수입액:3458억 원
한국,국가,생산,김,품목,시기:2022년;생산량:55422톤
