엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,제품,생산,비건 치킨,품목,가격:8.20유로;중량:325g;시기:2024.10.25;인증:HACCP;마케팅:식물성 원재료로 건강하게 즐길 수 있는 한국 양념 치킨
레베(Rewe),기업,유통,고객사 제품,제품,가격:8.20유로;중량:325g;시기:2024.10.25;인증:HACCP;마케팅:식물성 원재료로 건강하게 즐길 수 있는 한국 양념 치킨
레베(Rewe),기업,수입,고객사 제품,제품,가격:8.20유로;중량:325g;시기:2024.10.25;인증:HACCP;마케팅:식물성 원재료로 건강하게 즐길 수 있는 한국 양념 치킨
리브카인들리,기업,생산,라이크 치킨,품목,가격:3.29유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:콩으로 만들어 단백질이 풍부
리브카인들리,기업,생산,라이크 치킨 필레,품목,가격:3.29유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:콩으로 만들어 단백질이 풍부
리브카인들리,기업,생산,라이크 그릴드 치킨,품목,가격:3.29유로;중량:160g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:순식물성 제품
플레이티드 푸드,기업,생산,플랜티드 치킨 허브 앤드 레몬,품목,가격:2.99유로;중량:160g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:순식물성 제품
플레이티드 푸드,기업,생산,플랜티드 치킨 내추럴,품목,가격:2.99유로;중량:160g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:순식물성 제품
뤼겐발더 뮐레,기업,생산,비건 뮐렌 크리스피스 브레첼,품목,가격:2.49유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);포장:플라스틱;마케팅:무 첨가물;특징:바삭함
포나트,기업,생산,마이 베이 - 더 원더 청크 도너 스타일,품목,가격:2.95유로;중량:185g;시기:2024.10.01;인증:V-Label(Vegan);포장:플라스틱;마케팅:고단백;특징:대두 단백질 함유
레베(Rewe),기업,유통,라이크 치킨,품목,가격:3.29유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:콩으로 만들어 단백질이 풍부
레베(Rewe),기업,유통,라이크 치킨 필레,품목,가격:3.29유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:콩으로 만들어 단백질이 풍부
레베(Rewe),기업,유통,라이크 그릴드 치킨,품목,가격:3.29유로;중량:160g;시기:2024.10.01;인증:V-Label(Vegan);마케팅:순식물성 제품
에데카(Edeka),기업,유통,틸들 치킨 너겟,품목,가격:3.29유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);포장:종이/플라스틱
에데카(Edeka),기업,유통,틸들 크리스피 필레,품목,가격:3.29유로;중량:180g;시기:2024.10.01;인증:V-Label(Vegan);포장:종이/플라스틱
에데카(Edeka),기업,유통,발레스 치킨 크리스피 스틱,품목,가격:3.29유로;중량:160g;시기:2024.10.01;인증:V-Label(Vegan);포장:종이/플라스틱
알디(Aldi),기업,유통,마이 베이 - 더 원더 청크 도너 스타일,품목,가격:2.95유로;중량:185g;시기:2024.10.01;인증:V-Label(Vegan);포장:플라스틱;특징:고단백;원산지:독일
