엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
러시아,국가,시장규모,증류주,품목,시기:2023;시장규모:6000000000000
러시아,국가,시장규모,소주,품목,시기:2023;시장규모:49000000000
러시아,국가,수입액,HS CODE 2208.70,품목,시기:2017-2021;수입액:879000000000
러시아,국가,수입액,HS CODE 2208.90,품목,시기:2017-2021;수입액:189200000000
러시아,국가,수입액,한국,국가,시기:2017-2021;수입액:0
러시아,국가,수입액,독일,국가,수기:2017-2021;수입액:40700000000
러시아,국가,수입액,체코,국가,수입액:7400000000
러시아,국가,수입액,프랑스,국가,수입액:6800000000
러시아,국가,수입액,영국,국가,수입액:6700000000
러시아,국가,수입액,러시아,국가,수입액:0
러시아,국가,수입액,한국,국가,수입액:1000000000
러시아,국가,수입액,멕시코,국가,수입액:56600000000
러시아,국가,수입액,이탈리아,국가,수입액:31500000000
러시아,국가,수입액,영국,국가,수입액:19700000000
러시아,국가,수입액,HS CODE 2208.70,품목,시기:2017-2021;수입액:879000000000
러시아,국가,수입액,HS CODE 2208.90,품목,시기:2017-2021;수입액:189200000000
러시아,국가,수입액,한국,국가,시기:2017-2021;수입액:0
러시아,국가,수입액,독일,국가,시기:2017-2021;수입액:40700000000
러시아,국가,수입액,체코,국가,수입액:7400000000
러시아,국가,수입액,프랑스,국가,수입액:6800000000
러시아,국가,수입액,영국,국가,수입액:6700000000
러시아,국가,수입액,러시아,국가,수입액:0
러시아,국가,수입액,한국,국가,수입액:1000000000
러시아,국가,수입액,멕시코,국가,수입액:56600000000
러시아,국가,수입액,이탈리아,국가,수입액:31500000000
러시아,국가,수입액,영국,국가,수입액:19700000000
러시아,국가,수입액,소주,품목,시기:2023;수입액:49000000000
러시아,국가,수입액,증류주,품목,시기:2023;수입액:6000000000000
러시아,국가,수입액,한국,국가,시기:2023;수입액:0
러시아,국가,수입액,HS CODE 2208.70,품목,시기:2017-2021;수입액:879000000000
러시아,국가,수입액,HS CODE 2208.90,품목,시기:2017-2021;수입액:189200000000
러시아,국가,수입액,한국,국가,시기:2017-2021;수입액:0
러시아,국가,수입액,독일,국가,시기:2017-2021;수입액:40700000000
러시아,국가,수입액,체코,국가,수입액:7400000000
러시아,국가,수입액,프랑스,국가,수입액:6800000000
러시아,국가,수입액,영국,국가,수입액:6700000000
