엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
맑을린,품목,생산,한국산 소주,품목,시기:2024년;가격:2054투그릭;용량:360ml
A사,기업,생산,소주,품목,시기:2024년;가격:8850투그릭;용량:360ml
B사,기업,생산,소주,품목,시기:2024년;가격:9358투그릭;용량:360ml
C사,기업,생산,소주,품목,시기:2018년;가격:9199투그릭;용량:360ml
쇼피,온라인쇼핑몰,판매,몽골 육아용품등,품목,시기:2024년;가격:9660투그릭;용량:360ml
이마트,오프라인매장,판매,소주,품목,시기:2024년;가격:8850투그릭;용량:360ml
노민,오프라인매장,판매,소주,품목,시기:2024년;가격:9288투그릭;용량:360ml
지에스25,오프라인매장,판매,블루베리 소주,품목,시기:2024년;가격:11500투그릭;용량:360ml
이마트,오프라인매장,판매,청포도 소주,품목,시기:2024년;가격:8850투그릭;용량:360ml
이마트,오프라인매장,판매,수박 소주,품목,시기:2024년;가격:8850투그릭;용량:360ml
B사,기업,생산,청포도 소주,품목,시기:2024년;가격:9358투그릭;용량:360ml
B사,기업,생산,망고 소주,품목,시기:2024년;가격:8050투그릭;용량:360ml
B사,기업,생산,딸기 소주,품목,시기:2024년;가격:9348투그릭;용량:360ml
달빛,품목,생산,딸기 소주,품목,시기:2024년;가격:9199투그릭;용량:360ml
달빛,품목,생산,청포도 소주,품목,시기:2024년;가격:9199투그릭;용량:360ml
B사,기업,생산,청포도 소주,품목,시기:2024년;가격:9358투그릭;용량:360ml
달빛,품목,생산,요거트 소주,품목,시기:2024년;가격:9199투그릭;용량:360ml
