엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 신선과일,품목,생산,복숭아,품목,시기:2024년;국가:한국
한국산 신선과일,품목,생산,샤인머스캣,품목,시기:2024년;국가:한국
한국산 신선과일,품목,생산,딸기,품목,시기:2024년;국가:한국
몽골,국가,수입,한국산 신선과일,품목,시기:2024년
몽골,국가,수입,중국산 과일,품목,시기:2024년
몽골,국가,수입,페루산 과일,품목,시기:2024년
네이처라이프 팜,기업,생산,블루베리,품목,시기:2024년
네이처라이프 팜,기업,생산,딸기,품목,시기:2024년
B사,기업,수입,한국산 신선과일,품목,시기:2024년
노민,기업,수입,한국산 신선과일,품목,시기:2024년
노민,기업,생산,복숭아,품목,시기:2024년
노민,기업,생산,샤인머스캣,품목,시기:2024년
머큐리 마켓,재래시장,판매,딸기,품목,시기:2024년
머큐리 마켓,재래시장,판매,블루베리,품목,시기:2024년
A사,기업,생산,포도,품목,시기:2024년
A사,기업,생산,딸기,품목,시기:2024년
A사,기업,생산,복숭아,품목,시기:2024년
A사,기업,생산,샤인머스캣,품목,시기:2024년
노민,기업,생산,토오르,품목,시기:2024년
노민,기업,생산,그젤즈게네,품목,시기:2024년
네이처라이프 팜,기업,생산,네르스,품목,시기:2024년
경쟁제품,품목,포장,플라스틱 트레이,포장,시기:2024년
경쟁제품,품목,포장,플라스틱 파우치,포장,시기:2024년
경쟁제품,품목,포장,종이 상자,포장,시기:2024년
경쟁제품,품목,생산정보,생산자명 및 연락처,기타 표기사항,시기:2024년
경쟁제품,품목,홍보문구,신선함 강조,홍보문구,시기:2024년
경쟁제품,품목,홍보문구,풍부한 영양 강조,홍보문구,시기:2024년
