엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,가정용 프리믹스,품목,시기:2024년;국가:미국
미국,국가,생산,빵 및 시리얼 제품,품목,시기:2024년;국가:미국
미국,국가,생산,기타 시리얼 제품,품목,시기:2024년;국가:미국
미국,국가,수입,HS CODE 1901.90,품목,시기:2023;국가:미국
미국,국가,수입,한국,국가,시기:2019-2023;국가:한국
미국,국가,수입,캐나다,국가,시기:2019-2023;국가:캐나다
미국,국가,수입,싱가포르,국가,시기:2019-2023;국가:싱가포르
미국,국가,수입,프랑스,국가,시기:2019-2023;국가:프랑스
미국,국가,수입,글로벌,국가,시기:2019-2023;국가:글로벌
미국,국가,생산,튀김가루,품목,시기:2024년;국가:미국
미국,국가,생산,부침가루,품목,시기:2024년;국가:미국
미국,국가,생산,케이크믹스,품목,시기:2024년;국가:미국
미국,국가,생산,와플믹스,품목,시기:2024년;국가:미국
미국,국가,생산,버터밀크,성분,시기:2024년;국가:미국
미국,국가,생산,초콜릿,성분,시기:2024년;국가:미국
미국,국가,생산,아몬드,성분,시기:2024년;국가:미국
미국,국가,생산,호두,성분,시기:2024년;국가:미국
미국,국가,생산,글루텐프리 제품,품목,시기:2024년;국가:미국
미국,국가,생산,비건 제품,품목,시기:2024년;국가:미국
미국,국가,생산,유기농 제품,품목,시기:2024년;국가:미국
미국,국가,수입,HS CODE 1901.90,품목,시기:2023;국가:미국
미국,국가,수입,한국,국가,시기:2019-2023;국가:한국
미국,국가,수입,캐나다,국가,시기:2019-2023;국가:캐나다
미국,국가,수입,싱가포르,국가,시기:2019-2023;국가:싱가포르
미국,국가,수입,프랑스,국가,시기:2019-2023;국가:프랑스
미국,국가,수입,글로벌,국가,시기:2019-2023;국가:글로벌
