엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
건돌배,품목,생산,산돌배나무 열매,원산지,국가:한국;시기:2024년
건돌배,품목,수입,미국,국가,시기:2024년
건돌배,품목,생산,중량,속성,중량:300g
건돌배,품목,가격,14.60달러,가격,속성명:소비자가격
건돌배,품목,특징,차로 마실 수,특징,속성명:제품특징
건돌배,품목,인증,HACCP,인증,속성명:인증
건돌배,품목,중량,300g,속성,중량:300g
건돌배,품목,시기,2024년,속성,시기:2024년
건돌배,품목,포장,재밀봉 플라스틱 파우치,포장,속성명:포장형태
건돌배,품목,원산지,한국,국가,속성명:원산지
건돌배,품목,수입,미국,국가,속성명:수입국
산돌배나무 열매,원산지,국가,한국,국가,속성명:원산지
산돌배나무 열매,품목,생산,건조 배,품목,속성명:제품종류
산돌배나무 열매,품목,생산,무농약,특징,속성명:무농약
산돌배나무 열매,품목,생산,로스팅,특징,속성명:가공방법
미국,국가,수입,건조과일,품목,속성명:수입국
미국,국가,판매,온라인 쇼핑몰,유통채널,속성명:유통채널
미국,국가,판매,슈퍼마켓,유통채널,속성명:유통채널
미국,국가,판매,한인마트,유통채널,속성명:유통채널
건조과일,품목,생산,중국,원산지,속성명:원산지
건조과일,품목,생산,태국,원산지,속성명:원산지
건조과일,품목,생산,터키,원산지,속성명:원산지
건조과일,품목,생산,이집트,원산지,속성명:원산지
건조과일,품목,포장,플라스틱 파우치,포장,속성명:포장형태
건조과일,품목,인증,HALAL,인증,속성명:인증
건조과일,품목,인증,USDA Organic,인증,속성명:인증
건조과일,품목,포장,재밀봉 지퍼백,포장,속성명:포장형태
건조과일,품목,특징,무가당,특징,속성명:설탕첨가여부
건조과일,품목,특징,글루텐프리,특징,속성명:글루텐프리
건조과일,품목,특징,고품질,특징,속성명:품질
건조과일,품목,원료,과일 원물,원료,속성명:원료
건조과일,품목,원산지,미국,국가,속성명:원산지
건조과일,품목,원산지,베트남,국가,속성명:원산지
건조과일,품목,원산지,태국,국가,속성명:원산지
건조과일,품목,원산지,터키,국가,속성명:원산지
건조과일,품목,원산지,이집트,국가,속성명:원산지
건조과일,품목,포장,재밀봉 플라스틱 파우치,포장,속성명:포장형태
건조과일,품목,인증,HALAL,인증,속성명:인증
건조과일,품목,인증,ISO 22000,인증,속성명:인증
건조과일,품목,기타표기,Not a low calorie food,기타표기,속성명:기타표기
건조과일,품목,기타표기,Gluten-Free,기타표기,속성명:기타표기
건조과일,품목,기타표기,Fat-Free,기타표기,속성명:기타표기
건조과일,품목,기타표기,Saturated Fat 0g,기타표기,속성명:기타표기
건조과일,품목,기타표기,Sodium 0g,기타표기,속성명:기타표기
건조과일,품목,기타표기,Product of Vietnam export quality,기타표기,속성명:기타표기
