엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,고춧가루,품목,시기:2024년;국가:미국
고춧가루,품목,수입,한국,국가,시기:2019년;수입량:305억원
고춧가루,품목,수입,중국,국가,시기:2021년;수입량:378억원
고춧가루,품목,수입,인도,국가,시기:2023년;수입량:665억원
고춧가루,품목,생산,맥코믹,기업,시기:2024년;제품명:크러시드 레드 페퍼
고춧가루,품목,생산,토스,기업,시기:2024년;제품명:크러시드 레드페퍼
고춧가루,품목,생산,청정원,기업,시기:2024년;제품명:프리미엄 한국 비단 고춧가루
고춧가루,품목,생산,맥코믹,기업,시기:2024년;제품명:그라운드 레드페퍼
고춧가루,품목,생산,크로거,기업,시기:2024년;제품명:레드 페퍼 플레이크
고춧가루,품목,생산,코스트코,기업,시기:2024년;제품명:칠리 파우더
고춧가루,품목,생산,에이치마트,기업,시기:2024년;제품명:한국산 고춧가루
고춧가루,품목,생산,아마존,기업,시기:2024년;제품명:태경 칠리 플레이크
고춧가루,품목,생산,이베이,기업,시기:2024년;제품명:농협 고춧가루
고춧가루,품목,수입,미국,국가,시기:2023년;수입량:665억원
고춧가루,품목,수입,한국,국가,시기:2019년;수입량:305억원
고춧가루,품목,수입,중국,국가,시기:2021년;수입량:378억원
고춧가루,품목,수입,인도,국가,시기:2023년;수입량:665억원
고춧가루,품목,생산,맥코믹,기업,시기:2024년;제품명:그라운드 레드페퍼
고춧가루,품목,생산,토스,기업,시기:2024년;제품명:크러시드 레드페퍼
고춧가루,품목,생산,청정원,기업,시기:2024년;제품명:프리미엄 한국 비단 고춧가루
고춧가루,품목,생산,맥코믹,기업,시기:2024년;제품명:그라운드 레드페퍼
고춧가루,품목,생산,크로거,기업,시기:2024년;제품명:레드 페퍼 플레이크
고춧가루,품목,생산,코스트코,기업,시기:2024년;제품명:칠리 파우더
고춧가루,품목,생산,에이치마트,기업,시기:2024년;제품명:한국산 고춧가루
고춧가루,품목,생산,아마존,기업,시기:2024년;제품명:태경 칠리 플레이크
