엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,생산,김치,품목,시기:2024년;국가:미국
C사,기업,생산,서울 김치,품목,중량:396g;국가:미국;인증:HACCP
A사,기업,생산,홀 나파 캐비지,품목,중량:1000g;국가:한국;인증:HACCP
B사,기업,생산,홀 캐비지 김치,품목,중량:500g;국가:한국;인증:HACCP
H사,기업,생산,홀 김치,품목,중량:396g;국가:한국;인증:할랄
J사,기업,생산,친정 홀 김치,품목,중량:3400g;국가:한국;인증:없음
K사,기업,생산,김치,품목,중량:3400g;국가:한국;인증:없음
아마존,온라인쇼핑몰,수입,맛김치,품목,시기:2024년 8월;국가:한국;가격:14.99달러;중량:640g
월마트,온라인쇼핑몰,수입,맛김치,품목,시기:2024년 8월;국가:한국;가격:14.99달러;중량:640g
크로거,온라인쇼핑몰,수입,맛김치,품목,시기:2024년 8월;국가:한국;가격:14.99달러;중량:640g
트레이더 조,오프라인매장,수입,트레이더 조 김치,품목,시기:2024년 8월;국가:한국;가격:3.99달러;중량:300g
에이치마트,오프라인매장,수입,홀 캐비지 김치,품목,시기:2024년 8월;국가:한국;가격:6.99달러;중량:500g
에이치마트,오프라인매장,수입,홀 나파 캐비지,품목,시기:2024년 8월;국가:한국;가격:12.99달러;중량:1000g
H사,기업,생산,슬라이스드 나파 캐비지,품목,중량:3400g;국가:미국;인증:없음
I사,기업,생산,슬라이스드 나파 캐비지,품목,중량:3400g;국가:미국;인증:없음
B사,기업,생산,포기김치,품목,중량:500g;국가:한국;인증:없음
J사,기업,생산,포기김치,품목,중량:3400g;국가:한국;인증:없음
K사,기업,생산,포기김치,품목,중량:3400g;국가:한국;인증:없음
