엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,깻잎,품목,시기:2024;지역:미국
미국,국가,수입액,HS CODE 0709.99,품목,시기:2023;수입액:6213억 원
미국,국가,수입액,HS CODE 0709.99,품목,시기:2019-2023;연평균성장률:9.3%
미국,국가,수입액,HS CODE 0709.99,품목,시기:2023;한국수입액:1106만 원
미국,국가,시장규모,잎채소,품목,시기:2024;지역:미국
미국,국가,시장규모,잎채소,품목,시기:2019-2023;연평균성장률:4.2%
미국,국가,시장규모,잎채소,품목,시기:2024;예상성장률:3.3%
미국,국가,시장규모,신선채소,품목,시기:2024;지역:미국
미국,국가,시장규모,신선채소,품목,시기:2019-2023;연평균성장률:5.5%
미국,국가,시장규모,신선채소,품목,시기:2024;예상성장률:5.7%
미국,국가,시장규모,잎채소,품목,시기:2024;지역:미국
미국,국가,시장규모,잎채소,품목,시기:2019-2023;연평균성장률:4.2%
미국,국가,시장규모,잎채소,품목,시기:2024;예상성장률:3.3%
미국,국가,수입액,HS CODE 0709.99,품목,시기:2023;수입액:6213억 원
미국,국가,수입액,HS CODE 0709.99,품목,시기:2019-2023;연평균성장률:9.3%
미국,국가,수입액,HS CODE 0709.99,품목,시기:2023;한국수입액:1106만 원
미국,국가,유통채널,트레이더조,기업,유기농 및 친환경 제품 판매
미국,국가,유통채널,메이시스,기업,식료품 및 유기농 제품 판매
미국,국가,유통채널,월마트,기업,신선식품 및 유기농 제품 판매
미국,국가,유통채널,시온마켓,기업,한인 및 아시안 식품 판매
미국,국가,유통채널,에이치마트,기업,아시안 및 한인 식품 판매
미국,국가,유통채널,트레이더조,기업,유기농 및 친환경 제품 판매
미국,국가,유통채널,케이팟,기업,한식 및 한국식 쌈 재료 판매
미국,국가,유통채널,메르카토,기업,신선 농산물 및 식품 유통
미국,국가,유통채널,발도르스페셜티푸드,기업,신선 농산물 및 식품 유통
미국,국가,인증,USDA Organic,인증,미국 유기농 인증
미국,국가,인증,한국 유기가공인증,인증,한국-미국 유기농 인증 동등성 인정
미국,국가,라벨링,깻잎,품목,표기:일반명칭,포장:영어 및 한국어,중량:그램 또는 온스
미국,국가,라벨링,깻잎,품목,표기:알레르겐 성분,표기:영어,중요성:눈에 띄게 표기
미국,국가,농약잔류허용기준,글리포세이트,물질,잔류허용기준:1.8ppm
미국,국가,농약잔류허용기준,아버멕틴,물질,잔류허용기준:0.1ppm
미국,국가,농약잔류허용기준,캅탄,물질,잔류허용기준:0.05ppm
미국,국가,농약잔류허용기준,클로란트라닐리프롤,물질,잔류허용기준:13ppm
미국,국가,농약잔류허용기준,클로티아니딘,물질,잔류허용기준:3ppm
미국,국가,농약잔류허용기준,말라티온,물질,잔류허용기준:8ppm
미국,국가,농약잔류허용기준,피라클로스트로빈,물질,잔류허용기준:29ppm
미국,국가,농약잔류허용기준,스피로테트라메트,물질,잔류허용기준:9ppm
미국,국가,농약잔류허용기준,티아메톡삼,물질,잔류허용기준:4ppm
미국,국가,알레르겐성분,우유,성분,표기:반드시 표기
미국,국가,알레르겐성분,달걀,성분,표기:반드시 표기
미국,국가,알레르겐성분,생선,성분,표기:반드시 표기
미국,국가,알레르겐성분,갑각류,성분,표기:반드시 표기
미국,국가,알레르겐성분,견과류,성분,표기:반드시 표기
미국,국가,알레르겐성분,땅콩,성분,표기:반드시 표기
미국,국가,알레르겐성분,대두,성분,표기:반드시 표기
미국,국가,알레르겐성분,밀,성분,표기:반드시 표기
미국,국가,알레르겐성분,참깨,성분,표기:반드시 표기
