엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,떡류,품목,시기:2024년;국가:미국
한국,국가,생산,떡류,품목,시기:2024년;국가:한국
아마존,기업,판매,떡류,품목,시기:2024년;기업명:아마존
월마트,기업,판매,떡류,품목,시기:2024년;기업명:월마트
크로거,기업,판매,떡류,품목,시기:2024년;기업명:크로거
세븐일레븐,기업,판매,떡류,품목,시기:2024년;기업명:세븐일레븐
써클케이,기업,판매,떡류,품목,시기:2024년;기업명:써클케이
이베이,기업,판매,떡류,품목,시기:2024년;기업명:이베이
아마존,기업,수입,HS CODE 1901.90,품목,시기:2024년;기업명:아마존
미국,국가,수입,HS CODE 1901.90,품목,시기:2024년;국가:미국
한국,국가,수출,떡류,품목,시기:2024년;국가:한국
미국,국가,수입,한국산,품목,시기:2024년;국가:미국
미국,국가,수입,일본산,품목,시기:2024년;국가:미국
떡류,품목,대체품,찹쌀떡,품목,시기:2024년
떡류,품목,대체품,다이후쿠,품목,시기:2024년
떡류,품목,대체품,쑥떡,품목,시기:2024년
떡류,품목,대체품,바람떡,품목,시기:2024년
떡류,품목,생산,한국,국가,시기:2024년
떡류,품목,생산,일본,국가,시기:2024년
떡류,품목,생산,중국,국가,시기:2024년
떡류,품목,생산,미국,국가,시기:2024년
떡류,품목,수입,HS CODE 1901.90,품목,시기:2024년
떡류,품목,수입,HS CODE 1901.90,국가,시기:2024년;국가:미국
떡류,품목,수입,HS CODE 1901.90,국가,시기:2024년;국가:한국
떡류,품목,수입,HS CODE 1901.90,국가,시기:2024년;국가:캐나다
떡류,품목,수입,HS CODE 1901.90,국가,시기:2024년;국가:싱가포르
떡류,품목,수입,HS CODE 1901.90,국가,시기:2024년;국가:프랑스
