엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,바나나우유,품목,시기:2024년;국가:미국
미국,국가,생산,우유,품목,시기:2024년;국가:미국
미국,국가,수입,HS CODE 0402.99,품목,시기:2023;국가:미국
미국,국가,수입,한국,국가,시기:2019-2023;수입량:126억 원
미국,국가,수입,글로벌,국가,시기:2019-2023;수입액:1078억 원
미국,국가,수입,FIMA,법률,시기:2024년
미국,국가,수입,FDA,기관,시기:2024년
미국,국가,생산,우유,품목,시기:2024년;국가:미국
미국,국가,생산,가공유,품목,시기:2024년;국가:미국
미국,국가,생산,유제품,품목,시기:2024년;국가:미국
미국,국가,생산,유기농우유,품목,시기:2024년;국가:미국
미국,국가,생산,저온살균우유,품목,시기:2024년;국가:미국
미국,국가,생산,무균처리우유,품목,시기:2024년;국가:미국
미국,국가,생산,농축우유,품목,시기:2024년;국가:미국
미국,국가,생산,탈지건조우유,품목,시기:2024년;국가:미국
미국,국가,생산,유청,품목,시기:2024년;국가:미국
미국,국가,생산,버터밀크,품목,시기:2024년;국가:미국
한국,국가,수출,가공유,품목,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
한국,국가,수출,가공유,수출,시기:2024년
