엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
맛있는 비건,품목,생산,한국무형문화유산 부각,품목,시기:2024년;국가:한국
아마존,기업,판매,씨위드 칩,품목,원산지:한국;시기:2024년 8월17일
월마트,기업,판매,씨위드 칩,품목,원산지:미국;시기:2024년 8월17일
크로거,기업,판매,씨위드 칩,품목,원산지:한국;시기:2024년 8월17일
캘리포니아 골드 뉴트리션 푸드,기업,생산,씨위드 라이스 칩스,품목,원산지:한국;시기:2024년 8월17일
씨스낵스,기업,생산,씨위드 라이스 칩스,품목,원산지:미국;시기:2024년 8월17일
에이치마트,기업,판매,토푸 씨위드 라이스 크리스프-블랙 갈릭,품목,원산지:한국;시기:2024년 8월17일
에이치마트,기업,판매,레이버 칩,품목,원산지:한국;시기:2024년 8월17일
시온마켓,기업,판매,김부각 레이버 스낵,품목,원산지:한국;시기:2024년 8월17일
시온마켓,기업,판매,씨위드 칩,품목,원산지:한국;시기:2024년 8월17일
코스트코,기업,판매,다시마 부각 칩 바이트 사이즈,품목,원산지:한국;시기:2024년 8월17일
