엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
한국,국가,수출,붉은대게살,품목,HS CODE:1605.10-1099;시기:2023년
씨포트프로덕츠코퍼레이션,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
씨푸드시티슈퍼마켓,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
에이치마트,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
퍼시픽프레시피쉬,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
메이시스,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
노드스트롬,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
세븐일레븐,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
써클케이,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
풀턴피쉬마켓,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
퍼시픽프레시피쉬,기업,수입,붉은대게살,품목,HS CODE:1605.10;시기:2024년
붉은대게살,품목,수입,미국,국가,HS CODE:1605.10;시기:2024년
붉은대게살,품목,수출,한국,국가,HS CODE:1605.10-1099;시기:2023년
붉은대게살,품목,수입,인도네시아,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,필리핀,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,베트남,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,중국,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,미국,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,미국,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,미국,국가,HS CODE:1605.10;시기:2023년
붉은대게살,품목,수입,미국,국가,HS CODE:1605.10;시기:2023년
