엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,새우칩,품목,수입량:110083;시기:2023년
미국,국가,생산,제과 & 스낵,품목,시장규모:1291억달러;시기:2023년
미국,국가,수입,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,수입,새우칩,품목,수입량:110083;시기:2023년
미국,국가,생산,스낵,품목,시장규모:4987억달러;시기:2023년
미국,국가,생산,스낵,품목,시장규모:4987억달러;시기:2023년
미국,국가,생산,제과 & 스낵,품목,시장규모:1291억달러;시기:2023년
미국,국가,생산,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,수입,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,수입,새우칩,품목,수입량:110083;시기:2023년
미국,국가,생산,비건 스낵,품목,시장규모:45억달러;시기:2023년
미국,국가,생산,비건 스낵,품목,시장규모:45억달러;시기:2023년
미국,국가,생산,스낵,품목,시장규모:4987억달러;시기:2023년
미국,국가,생산,제과 & 스낵,품목,시장규모:1291억달러;시기:2023년
미국,국가,생산,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,생산,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,수입,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,수입,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
미국,국가,수입,HS CODE 1905.90,품목,수입액:1515억원;시기:2023년
