엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
N사,기업,생산,요거트 과일캔디,품목,제품명:N사 요거사과볼;가격:1.81달러;중량:30g;포장:종이 상자/파우치;특징:동결건조 사과에 요거트 코팅
요거트 과일캔디,품목,대체품,딸기 요거트 코팅 아몬드 캔디,품목,가격:3.99달러;중량:200g
요거트 과일캔디,품목,대체품,다크 초콜릿 코팅 아몬드 캔디,품목,가격:4.99달러;중량:280g
N사,기업,수입,미국,국가,시기:2024년
N사,기업,생산,요거트 과일캔디,품목,제품명:N사 요거사과볼;가격:1.81달러;중량:30g;포장:종이 상자/파우치;특징:동결건조 사과에 요거트 코팅
아마존,기업,수입,요거트 과일캔디,품목,가격:19.49달러;중량:600g;포장:파우치;특징:건강한 섬유질 간식
월마트,기업,수입,요거트 과일캔디,품목,가격:3.72달러;중량:28g;포장:파우치;특징:동결건조 과일캔디
크로거,기업,수입,요거트 과일캔디,품목,가격:41.23달러;중량:170g;포장:파우치;특징:동결건조 무화과
웰치스,기업,생산,요거트 과일캔디,품목,제품명:Fruit'n Yogurt Snacks;가격:3.49달러;중량:159g;포장:종이 상자
웰치스,기업,생산,요거트 과일캔디,품목,제품명:Fruit'n Yogurt Strawberry;가격:3.49달러;중량:159g;포장:종이 상자
치보 비타,기업,생산,요거트 과일캔디,품목,제품명:Probiotic Strawberry Yoggies;가격:5.99달러;중량:139g;포장:파우치;특징:프로바이오틱스 함유
트레이더 조,기업,생산,무화과 슬라이스,품목,제품명:Freeze Dried Fig slices;가격:3.69달러;중량:50g;포장:파우치;특징:무가당,무설탕
트레이더 조,기업,수입,무화과,국가,원산지:튀르키예
굿 앤 개더,기업,수입,요거트 과일캔디,품목,제품명:Tru Fru Natures's Strawberries;가격:5.99달러;중량:28g;포장:파우치;특징:Non GMO, 천연 재료
웰치스,기업,수입,요거트 과일캔디,품목,제품명:Fruit'n Yorgurt Snacks;가격:2.19달러;중량:100g;포장:종이 상자/파우치
이상 CSV 형식으로 엔터티와 관계, 속성을 정리하였으며, 문서 내 등장하는 주요 엔터티와 그 관계를 식품 데이터 관점에서 명확히 표현하였습니다.
