엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
2024,연도,시기,미국,국가,시기:2024
한라봉차,품목,생산,한국,국가,국가:한국
한라봉차,품목,생산,미국,국가,국가:미국
제주가 키운 한라봉차,품목,생산,한국,국가,국가:한국
허니 제주 한라봉 티,품목,생산,한국,국가,국가:한국
허니 한라봉 티,품목,생산,한국,국가,국가:한국
허니 유자 진저 티,품목,생산,한국,국가,국가:한국
스머커스,기업,생산,미국,국가,국가:미국
폴라너,기업,생산,미국,국가,국가:미국
크로거,기업,생산,미국,국가,국가:미국
스머커스,기업,생산,미국,국가,국가:미국
알버트슨 컴퍼니,기업,생산,미국,국가,국가:미국
안드로스,기업,생산,프랑스,국가,국가:프랑스
허니 제주 한라봉 티,품목,수입,한국,국가,국가:한국
허니 한라봉 티,품목,수입,한국,국가,국가:한국
허니 유자 진저 티,품목,수입,한국,국가,국가:한국
스머커스,기업,수입,미국,국가,국가:미국
폴라너,기업,수입,미국,국가,국가:미국
크로거,기업,수입,미국,국가,국가:미국
알버트슨 컴퍼니,기업,수입,미국,국가,국가:미국
안드로스,기업,수입,프랑스,국가,국가:프랑스
한남체인,유통채널,판매,미국,국가,국가:미국
본스,유통채널,판매,미국,국가,국가:미국
월마트,유통채널,판매,미국,국가,국가:미국
타겟,유통채널,판매,미국,국가,국가:미국
홀푸드 마켓,유통채널,판매,미국,국가,국가:미국
에이치마트,유통채널,판매,한국,국가,국가:한국
아시안 푸드 그로서,유통채널,판매,미국,국가,국가:미국
온라인,유통채널,판매,국가,국가,시기:2024
오프라인,유통채널,판매,국가,국가,시기:2024
포장,속성,개선,스틱형 포장,포장,포장형태:스틱형
포장,속성,개선,유리병,포장,포장형태:유리병
가격,속성,개선,고가,가격,가격:높음
가격,속성,개선,저가,가격,가격:낮음
중량,속성,개선,570g,중량,중량:570g
중량,속성,개선,687.8g,중량,중량:687.8g
원재료,속성,홍보문구,제주산 한라봉,원료,원료명:제주산 한라봉
원재료,속성,홍보문구,자연에서 온 재료,원료,원료명:자연에서 온 재료
홍보문구,속성,강조,제주산 한라봉,홍보문구,내용:제주산 한라봉으로 만든
홍보문구,속성,강조,자연에서 온 재료,홍보문구,내용:자연에서 온 재료로 만든
리뷰,속성,감성분석,맛,리뷰,내용:맛에 대한 만족도 높음
리뷰,속성,감성분석,제품 선호도,리뷰,내용:제품 선호도 높음
패키징,속성,불만,파손,패키징,내용:깨지고 쏟아짐
패키징,속성,개선요구,환경 친화적 포장,포장,포장재:환경 친화적 소재
시장,속성,트렌드,겨울철 소비,시기,시기:겨울
시장,속성,트렌드,여름철 낮은 수요,시기,시기:여름
