엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,수산가공식품,품목,시기:2023;시장규모:69조원
한국,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:453억원
일본,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:115억
중국,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:107억
캐나다,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:83억
한국,국가,수출규모,해초샐러드,품목,시기:2023;수출규모:3억
미국,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:453억
미국,국가,수입단가,HS CODE 1212.21,품목,시기:2023;수입단가:2185만 원
한국,국가,수출규모,해초샐러드,품목,시기:2023;수출규모:3억
미국,국가,시장점유율,하이퍼마켓/슈퍼마켓,유통채널,시기:2023;점유율:65.0
미국,국가,시장점유율,소매점,유통채널,시기:2023;점유율:12.6
미국,국가,시장점유율,전문점,유통채널,시기:2023;점유율:5.2
미국,국가,시장점유율,편의점,유통채널,시기:2023;점유율:3.2
미국,국가,시장점유율,할인점,유통채널,시기:2023;점유율:2.7
미국,국가,시장점유율,기타,유통채널,시기:2023;점유율:11.3
월마트,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
크로거,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
아마존,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
이베이,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
시온마켓,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
에이치마트,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
씨위드,기업,유통채널,해초샐러드,품목,시기:2024;관계:생산
배급사,기업,수입,해초샐러드,품목,시기:2024;관계:수입
뉴 프론티어 푸드,기업,수입,해초샐러드,품목,시기:2024;관계:수입
오션사이드씨푸드,기업,수입,해초샐러드,품목,시기:2024;관계:수입
Giovanni's Fish Market,기업,수입,해초샐러드,품목,시기:2024;관계:수입
미국,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:990억
한국,국가,수출규모,해초샐러드,품목,시기:2023;수출규모:3억
미국,국가,수입단가,HS CODE 1212.21,품목,시기:2023;수입단가:1247만 원
한국,국가,수출규모,해초샐러드,품목,시기:2023;수출규모:3억
미국,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:453억
미국,국가,수입액,HS CODE 1212.21,품목,시기:2023;수입액:990억
한국,국가,수출규모,해초샐러드,품목,시기:2023;수출규모:3억
미국,국가,수입단가,HS CODE 1212.21,품목,시기:2023;수입단가:2185만 원
한국,국가,수출규모,해초샐러드,품목,시기:2023;수출규모:3억
