엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,홍삼분말,품목,시기:2024년;국가:미국
미국,국가,생산,홍삼분말,품목,시기:2024년;국가:미국
정관장,기업,생산,홍삼분말,품목,시기:2024년;국가:한국
포천홍삼,기업,생산,홍삼분말,품목,시기:2024년;국가:한국
젠진생,기업,생산,홍삼분말,품목,시기:2024년;국가:한국
월마트,기업,유통,홍삼분말,품목,시기:2024년;국가:미국
트레이더조,기업,유통,홍삼분말,품목,시기:2024년;국가:미국
월그린,기업,유통,홍삼분말,품목,시기:2024년;국가:미국
씨브이에스,기업,유통,홍삼분말,품목,시기:2024년;국가:미국
아마존,기업,유통,홍삼분말,품목,시기:2024년;국가:미국
이베이,기업,유통,홍삼분말,품목,시기:2024년;국가:미국
한국산 홍삼,품목,원료,홍삼분말,품목,시기:2024년;국가:한국
진세노사이드,성분,함유,홍삼분말,품목,시기:2024년;국가:한국
한국산 홍삼,원산지,표시,홍삼분말,품목,시기:2024년;국가:한국
첨가물 제로,특성,홍보포인트,홍삼분말,품목,시기:2024년;국가:미국
쓴맛 감소,특성,홍보포인트,홍삼분말,품목,시기:2024년;국가:미국
천연,특성,홍보포인트,홍삼분말,품목,시기:2024년;국가:미국
홍삼,품목,기능성,홍삼분말,품목,시기:2024년;국가:한국
면역력,효능,홍보포인트,홍삼분말,품목,시기:2024년;국가:한국
혈액순환,효능,홍보포인트,홍삼분말,품목,시기:2024년;국가:한국
진세노사이드,성분,효능,홍삼분말,품목,시기:2024년;국가:한국
USDA Organic,인증,적용,홍삼분말,품목,시기:2024년;국가:미국
GMP,인증,적용,홍삼분말,품목,시기:2024년;국가:미국
글루텐-프리,인증,적용,홍삼분말,품목,시기:2024년;국가:미국
GRAS,인증,적용,홍삼분말,품목,시기:2024년;국가:미국
HS CODE 1211.20,분류,적용,홍삼분말,품목,시기:2024년;국가:미국
홍삼분말,품목,시장규모,미국 일반의약품시장,시장,시기:2023
홍삼분말,품목,시장규모,미국 비타민 및 미네랄시장,시장,시기:2023
홍삼분말,품목,수입액,미국 對한국,수입액,시기:2023
홍삼분말,품목,수입액,미국 對글로벌,수입액,시기:2023
홍삼분말,품목,브랜드,젠진생,브랜드,시기:2024년
홍삼분말,품목,브랜드,포천홍삼,브랜드,시기:2024년
홍삼분말,품목,브랜드,정관장,브랜드,시기:2024년
홍삼분말,품목,효능,에너지,효능,시기:2024년
홍삼분말,품목,효능,면역력,효능,시기:2024년
홍삼분말,품목,효능,체력,효능,시기:2024년
홍삼분말,품목,홍보문구,천연;프리미엄;건강,홍보포인트,시기:2024년
홍삼분말,품목,유통채널,아마존,유통,시기:2024년
홍삼분말,품목,유통채널,이베이,유통,시기:2024년
홍삼분말,품목,유통채널,월마트,유통,시기:2024년
홍삼분말,품목,유통채널,트레이더조,유통,시기:2024년
홍삼분말,품목,유통채널,월그린,유통,시기:2024년
홍삼분말,품목,유통채널,씨브이에스,유통,시기:2024년
홍삼분말,품목,유통채널,허바다이어트,유통,시기:2024년
홍삼분말,품목,유통채널,헤룻,유통,시기:2024년
홍삼분말,품목,유통채널,홈페이지,유통,시기:2024년
홍삼분말,품목,유통채널,홈페이지,유통,시기:2024년
홍삼분말,품목,유통채널,범용 온라인몰,유통,시기:2024년
홍삼분말,품목,유통채널,대형 슈퍼마켓,유통,시기:2024년
홍삼분말,품목,유통채널,약국,유통,시기:2024년
홍삼분말,품목,유통채널,건강전문점,유통,시기:2024년
