엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장규모,맥주,품목,시기:2024;수량:69조원
베트남,국가,시장규모,알코올 맥주,품목,시기:2024;수량:6.7조원
베트남,국가,수입액,HS CODE 2203.00,품목,시기:2022;수량:154억 원
베트남,국가,수입액,대한국,국가,시기:2022;수량:2478만 원
베트남,국가,수입액,대글로벌,국가,시기:2022;수량:154억 원
베트남,국가,수입액,중국,국가,시기:2022;수량:58억 원
베트남,국가,수입액,네덜란드,국가,시기:2022;수량:28억 원
베트남,국가,수입액,체코,국가,시기:2022;수량:16억 원
베트남,국가,수입액,사이다 및 숙성 음료,품목,시기:2022;수량:50μg/kg
베트남,국가,수입액,맥주,품목,시기:2022;수량:50μg/kg
베트남,국가,수입액,포장재,품목,시기:2022;수량:포장재
베트남,국가,수입액,중금속,품목,시기:2022;수량:잔류허용기준
베트남,국가,수입액,미생물,품목,시기:2022;수량:잔류허용기준
베트남,국가,수입액,식품첨가물,품목,시기:2022;수량:적용기준
베트남,국가,수입액,곰팡이독소,품목,시기:2022;수량:잔류허용기준
베트남,국가,수입액,알레르겐 성분,품목,시기:2022;수량:표기 의무
베트남,국가,수입액,유통기한,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,원산지,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,라벨링,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,에탄올 함량,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,성분 및 성분 함량,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,제조일자,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,유통기한,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,상품 책임기관,품목,시기:2022;수량:표기 규정
베트남,국가,수입액,라벨 표기,품목,시기:2022;수량:표기 규정
다카시마야 베트남,기업,유통채널,맥주,품목,시기:2024
다카시마야 베트남,기업,유통채널,음료류,품목,시기:2024
다이아몬드플라자,기업,유통채널,맥주,품목,시기:2024
다이아몬드플라자,기업,유통채널,선물용 제품,품목,시기:2024
빈컴 메가몰,기업,유통채널,맥주,품목,시기:2024
빈컴 메가몰,기업,유통채널,의류,품목,시기:2024
롯데몰 웨스트레이크 하노이,기업,유통채널,맥주,품목,시기:2024
롯데몰 웨스트레이크 하노이,기업,유통채널,한국 인기 브랜드,품목,시기:2024
지에스25 베트남,기업,유통채널,한국식 조리식품,품목,시기:2024
지에스25 베트남,기업,유통채널,편의점,품목,시기:2024
케이마켓,기업,유통채널,신선식품,품목,시기:2024
케이마켓,기업,유통채널,냉동식품,품목,시기:2024
베트남,국가,시장트렌드,맥주,품목,시기:2023
베트남,국가,시장트렌드,알코올 음료,품목,시기:2023
베트남,국가,시장트렌드,저알코올 맥주,품목,시기:2023
베트남,국가,시장트렌드,무알코올 맥주,품목,시기:2023
베트남,국가,시장트렌드,크래프트 맥주,품목,시기:2023
베트남,국가,시장트렌드,프리미엄 맥주,품목,시기:2023
베트남,국가,시장트렌드,온라인 판매,관계,시기:2023
베트남,국가,시장트렌드,소비자경험,관계,시기:2023
베트남,국가,시장트렌드,가격인하,관계,시기:2023
베트남,국가,시장트렌드,캠페인,관계,시기:2023
베트남,국가,시장트렌드,정부 정책,관계,시기:2023
베트남,국가,시장트렌드,세금 인상,관계,시기:2023
베트남,국가,시장트렌드,소비자 인식,관계,시기:2023
