엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,품목,생산,한국산 쌀,원산지,국가:한국;시기:2024년
술킷 홈 브루잉 키트,품목,생산,곡류 가공품,품목,국가:한국;시기:2024년
술킷 홈 브루잉 키트,품목,생산,전통주,품목,국가:한국;시기:2024년
술킷 홈 브루잉 키트,품목,생산,전통주 양조법,속성,국가:한국;시기:2024년
B사,기업,생산,막걸리,품목,국가:한국;설립연도:1983
미야사카 브루잉 컴퍼니 사케,기업,생산,사케,품목,국가:일본;설립연도:1662
A사,기업,생산,전통막걸리,품목,국가:한국;설립연도:2010
B사,기업,수입,한국산 막걸리,품목,국가:한국
미야사카 브루잉 컴퍼니 사케,기업,수입,일본산 사케,품목,국가:일본
후지마트,유통업체,운영,슈퍼마켓,유형,국가:베트남
이온 맥스밸류,유통업체,운영,슈퍼마켓,유형,국가:베트남
롯데백화점,유통업체,운영,백화점,유형,국가:베트남
코라이스 막걸리,품목,수입,한국산,원산지,국가:한국
사케 마스미 카야,품목,수입,일본산,원산지,국가:일본
사케 니시노세키 니고리자케,품목,수입,일본산,원산지,국가:일본
사케 니시노세키 하나,품목,수입,일본산,원산지,국가:일본
코라이스 막걸리 (체스트넛),품목,수입,한국산,원산지,국가:한국
사케 호우준 준마이슈 즈이요,품목,수입,일본산,원산지,국가:일본
베트남 브루잉 키트 경쟁제품,품목,경쟁,막걸리,품목,국가:한국|일본;시기:2024년
베트남 브루잉 키트 경쟁제품,품목,경쟁,사케,품목,국가:한국|일본;시기:2024년
베트남 시장,지역,포함,하노이,지역,국가:베트남
베트남 하노이,지역,인구,843만5700명,인구,국가:베트남
베트남 하노이,지역,경제,2022년 GDRP 171억달러,경제,국가:베트남
베트남 하노이,지역,수출,2021년 171억달러,경제,국가:베트남
베트남 내 유통채널,유통채널,포함,오프라인 매장,유형,국가:베트남
베트남 내 유통채널,유통채널,포함,온라인 쇼핑몰,유형,국가:베트남
쇼피,온라인쇼핑몰,판매,경쟁제품,품목,국가:한국|일본
라자다,온라인쇼핑몰,판매,경쟁제품,품목,국가:한국|일본
티키,온라인쇼핑몰,판매,경쟁제품,품목,국가:한국|일본
경쟁기업,기업,생산,경쟁제품,품목,국가:한국|일본
경쟁기업,기업,홍보,글로벌 홈페이지,속성,국가:한국|일본
경쟁기업,기업,홍보,SNS 계정,속성,국가:한국|일본
경쟁기업,기업,포장현지화,포장 디자인,속성,국가:한국|일본
경쟁기업,기업,유통,오프라인,채널,국가:한국|일본
경쟁기업,기업,유통,온라인,채널,국가:한국|일본
경쟁제품,품목,생산,막걸리,품목,국가:한국
경쟁제품,품목,생산,사케,품목,국가:일본
경쟁제품,품목,가격,평균 100ml당 48,153동,속성,국가:한국|일본
경쟁제품,포장,형태,페트병,속성,국가:한국|일본
경쟁제품,포장,형태,유리병,속성,국가:한국|일본
경쟁제품,도수,평균 10%,속성,국가:한국|일본
경쟁제품,판매수량,월 200~300세트,속성,국가:한국|일본
경쟁기업,홍보,마케팅,인플루언서 협업,속성,국가:한국|일본
고객사,제품,생산,전통주,품목,국가:한국
고객사,제품,생산,브루잉 키트,품목,국가:한국
고객사,제품,생산,전통주 양조법,속성,국가:한국
고객사,제품,수입,한국산 쌀,원산지,국가:한국
고객사,제품,수입,전통주,품목,국가:한국
고객사,제품,수입,브루잉 키트,품목,국가:한국
고객사,제품,수입,전통주,품목,국가:한국
고객사,제품,수입,전통주 양조법,속성,국가:한국
고객사,제품,수입,브루잉 키트,품목,국가:한국
고객사,제품,수입,전통주,품목,국가:한국
