엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,생산,전통분말차,품목,국가:베트남;시기:2024년 8월
호두 아몬드 율무차,품목,생산,베트남,국가,국가:베트남;시기:2024년 8월
호두 아몬드 율무차,품목,대체품,한국 전통분말차,품목,가격:245614동;중량:900g;포장:스틱/비닐;시기:2024년 8월
호두 아몬드 흑미 율무차,품목,대체품,한국 전통분말차,품목,가격:245614동;중량:900g;포장:스틱/비닐;시기:2024년 8월
호두 아몬드 율무차,품목,수입,베트남,국가,원산지:베트남;시기:2024년 8월
호두 아몬드 흑미 율무차,품목,수입,베트남,국가,원산지:베트남;시기:2024년 8월
호두 아몬드 율무차,품목,대체품,한국 전통분말차,품목,가격:245614동;중량:900g;포장:스틱/비닐;시기:2024년 8월
호두 아몬드 흑미 율무차,품목,대체품,한국 전통분말차,품목,가격:245614동;중량:900g;포장:스틱/비닐;시기:2024년 8월
베트남,국가,생산,전통분말차,품목,국가:베트남;시기:2024년 8월
쑤언 안 뉴트리션 푸드,기업,생산,곡물 파우더,품목,설립연도:2004;국적:베트남
네슬레 베트남,기업,생산,곡물 시리얼,품목,설립연도:1995;국적:스위스
탄 안 푸드,기업,생산,곡물 파우더,품목,설립연도:1998;국적:베트남
쑤언 안 뉴트리션 푸드,기업,수입,베트남,국가,수입경로:오프라인(윈마트,이온맥스밸류),온라인(쇼피,라자다,티키)
네슬레 베트남,기업,수입,베트남,국가,수입경로:오프라인(윈마트,후지마트,이온맥스밸류),온라인(쇼피,라자다)
탄 안 푸드,기업,수입,베트남,국가,수입경로:오프라인(윈마트,후지마트,이온맥스밸류),온라인(쇼피,라자다)
베트남,국가,생산,전통분말차,품목,원산지:베트남;시기:2024년 8월
한국,국가,수입,전통분말차,품목,가격:350000동(19,950원);중량:390g;포장:개별포장
베트남,국가,생산,전통분말차,품목,원산지:베트남;시기:2024년 8월
베트남,국가,생산,전통분말차,품목,원산지:베트남;시기:2024년 8월
베트남,국가,생산,전통분말차,품목,원산지:베트남;시기:2024년 8월
한국,국가,수입,전통분말차,품목,가격:350000동(19,950원);중량:390g;포장:개별포장
베트남,국가,생산,전통분말차,품목,원산지:베트남;시기:2024년 8월
