엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 해조류,품목,생산,한국,국가,시기:2024년
한국산 해조류,품목,수입,중국,국가,시기:2024년
한국산 해조류,품목,수입,일본,국가,시기:2024년
김,품목,생산,한국산 해조류,품목,시기:2024년
김,품목,생산,완도,국가,시기:2024년
김,품목,생산,오무드,기업,시기:2024년
김,품목,생산,오무기,기업,시기:2024년
김,품목,생산,성경김,기업,시기:2024년
포장형태,품목,선호,종이상자,포장형태,시기:2024년
포장형태,품목,선호,유리병,포장형태,시기:2024년
포장형태,품목,선호,플라스틱파우치,포장형태,시기:2024년
포장형태,품목,선호,스틱형파우치,포장형태,시기:2024년
제품,품목,구매경로,대형마트,유통경로,시기:2024년
제품,품목,구매경로,편의점,유통경로,시기:2024년
제품,품목,구매경로,온라인라이브커머스,유통경로,시기:2024년
제품,품목,구매경로,한인마트,유통경로,시기:2024년
제품,품목,구매경로,온라인쇼핑몰,유통경로,시기:2024년
제품,품목,구매경로,시장,유통경로,시기:2024년
해조류,품목,생산,한국,국가,시기:2024년
해조류,품목,수입,중국,국가,시기:2024년
해조류,품목,수입,일본,국가,시기:2024년
김,품목,선호원산지,오무드,기업,시기:2024년
김,품목,선호원산지,완도,국가,시기:2024년
김,품목,선호원산지,오무기,기업,시기:2024년
김,품목,선호원산지,성경김,기업,시기:2024년
포장형태,품목,선호,종이상자,포장형태,시기:2024년
포장형태,품목,선호,유리병,포장형태,시기:2024년
포장형태,품목,선호,플라스틱파우치,포장형태,시기:2024년
포장형태,품목,선호,스틱형파우치,포장형태,시기:2024년
