엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,수입,콩스낵,품목,수입규모:2022년:14600000
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:1.7억
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:14.6억
베트남,국가,수입,필리핀,국가,수입규모:2022년:3.7억
베트남,국가,수입,호주,국가,수입규모:2022년:2.1억
베트남,국가,수입,일본,국가,수입규모:2022년:1.5억
베트남,국가,수입,베트남,국가,수입규모:2022년:14.6억
베트남,국가,수입,한국,국가,수입규모:2022년:1.7억
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:14600000
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:392만
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:80
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:3
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:296
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:3
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:557
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:27
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:688
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:16
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:1115
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:132
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:80
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:2
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:557
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:27
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:688
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:16
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:1115
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:132
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:14600000
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:392만
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:80
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:3
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:296
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:3
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:557
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:27
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:688
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:16
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:1115
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:132
베트남,국가,수입,글로벌,국가,수입규모:2018년-2022년:14600000
베트남,국가,수입,한국,국가,수입규모:2018년-2022년:392만
