엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,수입,홍삼 삼계탕재료,품목,시기:2024년;시장규모:3.6조원;연평균성장률:7.4%
베트남,국가,생산,삼계탕,품목,시기:2024년;시장규모:약 3.7조원;연평균성장률:5.1%
베트남,국가,수입,인삼,품목,시기:2024년;수입량:4542톤;수입액:2000만달러
한국,국가,수입,인삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,수입,홍삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,생산,삼계탕,품목,시기:2024년;시장규모:약 3.7조원;연평균성장률:5.1%
베트남,국가,수입,홍삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,수입,인삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,수입,홍삼 삼계탕재료,품목,시기:2024년;시장규모:3.6조 원;연평균성장률:7.4%
베트남,국가,수입,홍삼 삼계탕재료,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,수입,인삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,생산,삼계탕,품목,시기:2024년;시장규모:약 3.7조원;연평균성장률:5.1%
베트남,국가,수입,홍삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
한국,국가,수입,인삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,수입,홍삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
베트남,국가,생산,삼계탕,품목,시기:2024년;시장규모:약 3.7조원;연평균성장률:5.1%
베트남,국가,수입,홍삼,품목,시기:2024년;수입액:약 172억 원;수입량:9543톤
