엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
브라질,국가,시장규모,프로바이오틱스,품목,시기:2024년;수입규모:272517;시기:2023년
브라질,국가,시장성장률,일반의약품,품목,시기:2019-2023;연평균성장률:2.8%
브라질,국가,시장성장률,소화및장치료제,품목,시기:2019-2023;연평균성장률:1.1%
브라질,국가,시장규모,일반의약품,품목,시기:2024년;예상시장규모:6137
브라질,국가,시장규모,소화및장치료제,품목,시기:2024년;예상시장규모:893
브라질,국가,수입규모,브라질대글로벌,국가,수입액:345780;시기:2023년
브라질,국가,수입규모,브라질대한국,국가,수입액:155;시기:2023년
브라질,국가,시장점유율,하이퍼마켓/슈퍼마켓,유통채널,점유율:45.2%;시기:2024년
브라질,국가,시장점유율,온라인,유통채널,점유율:5.1%;시기:2024년
브라질,국가,주요 유통채널,에이엠피엠,유통채널,품목:식음료,스낵류,커피,아이스크림
브라질,국가,주요 유통채널,옥쏘,유통채널,품목:음료,스낵,즉석식품,가공식품
브라질,국가,주요 유통채널,아마존 브라질,유통채널,품목:온라인 종합쇼핑몰,브랜드:엔테로제르미나,셀레라파마
브라질,국가,주요 유통채널,파그메누스,유통채널,품목:의약품,뷰티제품,위생용품,건강보조식품
브라질,국가,프로바이오틱스 인증,글로벌,인증,인증명:한국식품안전관리인증;유형:HACCP,ISO22000,FSSC22000,GMP
브라질,국가,라벨표시,포르투갈어,라벨,표기사항:제품명,원산지,수입·제조사,보관방법,유통기한
브라질,국가,유통기한표시,최소월·년,라벨,기준:유통기한이 3개월 이상인 경우 월·년 표기
브라질,국가,영양성분표,포장지,표시,기준:100g 또는 100ml 기준,영양성분 포함
브라질,국가,영양강조표시,포장지,표시,기준:포장 앞면 영양표시와 연계
브라질,국가,프로바이오틱스 제형,캡슐,형태,빈도:89건
브라질,국가,패키징,팩,형태,빈도:38건
브라질,국가,주요 성분,락토바실러스,비피도박테리움,빈도:13,4건
브라질,국가,주요 성분,비타민,마그네슘,크레아틴,빈도:20,9,각각
브라질,국가,시장 트렌드,다균주,트렌드,내용:다양한 균주 조합 증가
브라질,국가,시장 트렌드,신바이오틱스,트렌드,내용:프로바이오틱스와 프리바이오틱스 결합
브라질,국가,경쟁력 강화 전략,연구개발,내용:임상증거 확보, 특허 균주 개발
브라질,국가,주요 산업,유제품,산업,내용:요구르트 등 유제품에 프로바이오틱스 활용
브라질,국가,소비자 구매 동기,건강증진,내용:장 건강, 면역력 강화, 편리성
브라질,국가,시장 성장 전망,2028년,시기,예상시장규모:10.3조원;연평균성장률:5.1%
브라질,국가,수입액,HS CODE 2106.90,품목,수입액:4772억 원;시기:2023년
브라질,국가,수입액,한국,국가,수입액:2억 원;시기:2023년
