엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대만,국가,수입,수산물,품목,시기:2024년 8월
대만,국가,수입,수산가공품,품목,시기:2024년 8월
대만,국가,수입,해조류,품목,시기:2024년 8월
대만,국가,수입,오징어,품목,시기:2024년 8월
대만,국가,수입,게,품목,시기:2024년 8월
대만,국가,수입,김,품목,시기:2024년 8월
대만,국가,수입,갑오징어,품목,시기:2024년 8월
대만,국가,수입,오징어채,품목,시기:2024년 8월
대만,국가,수입,해초,품목,시기:2024년 8월
대만,국가,수입,게살,품목,시기:2024년 8월
대만,국가,수입,수산가공품,품목,시기:2024년 8월
대만,국가,수입,해조류,품목,시기:2024년 8월
대만,국가,수입,오징어,품목,시기:2024년 8월
대만,국가,수입,게,품목,시기:2024년 8월
대만,국가,수입,김,품목,시기:2024년 8월
대만,국가,수입,갑오징어,품목,시기:2024년 8월
대만,국가,수입,오징어채,품목,시기:2024년 8월
대만,국가,수입,해초,품목,시기:2024년 8월
대만,국가,수입,게살,품목,시기:2024년 8월
대만,국가,수입,수산가공품,품목,시기:2024년 8월
대만,국가,수입,해조류,품목,시기:2024년 8월
대만,국가,수입,오징어,품목,시기:2024년 8월
대만,국가,수입,게,품목,시기:2024년 8월
대만,국가,수입,김,품목,시기:2024년 8월
대만,국가,수입,갑오징어,품목,시기:2024년 8월
대만,국가,수입,오징어채,품목,시기:2024년 8월
대만,국가,수입,해초,품목,시기:2024년 8월
대만,국가,수입,게살,품목,시기:2024년 8월
대만,국가,수입,수산가공품,품목,시기:2024년 8월
대만,국가,수입,해조류,품목,시기:2024년 8월
대만,국가,수입,오징어,품목,시기:2024년 8월
대만,국가,수입,게,품목,시기:2024년 8월
대만,국가,수입,김,품목,시기:2024년 8월
대만,국가,수입,갑오징어,품목,시기:2024년 8월
대만,국가,수입,오징어채,품목,시기:2024년 8월
대만,국가,수입,해초,품목,시기:2024년 8월
