엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
싱가포르,국가,수입,버섯 스낵,품목,시기:2024년;시장규모:1.53조원
싱가포르,국가,수입,버섯,품목,시기:2024년;원산지:중국|일본|대만
버섯,품목,생산,표고버섯,품목,원산지:원난성
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,수입,싱가포르,국가,시기:2019-2023;수입액:80억 원
버섯,품목,수입,한국,국가,시기:2019-2023;수입액:138만 원
버섯,품목,생산,버섯 스낵,품목,
버섯,품목,생산,표고버섯 칩,품목,
버섯,품목,생산,말린 버섯,품목,
버섯,품목,생산,건조 트러플,품목,
버섯,품목,생산,버섯 칩,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
버섯,품목,생산,야생버섯,품목,
버섯,품목,생산,느타리버섯,품목,
버섯,품목,생산,차가버섯,품목,
버섯,품목,생산,트러플,품목,
버섯,품목,생산,버섯,품목,
버섯,품목,생산,표고버섯,품목,
