엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
영국,국가,시장규모,수산가공식품,품목,시기:2023;시장규모:25조원
한국,국가,생산규모,김,품목,시기:2022;생산량:550422
영국,국가,수입규모,김,품목,시기:2023;수입액:127억원
한국,국가,수출규모,김,품목,시기:2023;수출량:18599;수출금액:6873억
한국,국가,생산규모,김,품목,시기:2022;생산량:550422
한국,국가,HS CODE,2008.99,관세코드,품명:김;관세율:0%
영국,국가,HS CODE,2008.99,관세코드,품명:김;관세율:0%
영국,국가,수입단가,김,품목,시기:2023;단가:3693만 원/톤
한국,국가,수출,김,품목,시기:2023;수출량:356톤;수출금액:151억 원
영국,국가,수입,김,품목,시기:2023;수입액:127억 원
영국,기업,유통채널,테스코,기업명,유통채널:하이퍼마켓/슈퍼마켓;점유율:65.7%
영국,기업,유통채널,아스다,기업명,유통채널:하이퍼마켓/슈퍼마켓;점유율:약 20%
영국,기업,유통채널,아마존,기업명,유통채널:온라인;해외판매:가능
영국,기업,유통채널,이베이,기업명,유통채널:온라인;해외판매:가능
영국,기업,유통채널,스타리마트,기업명,유통채널:아시안마트/한인마트
영국,기업,유통채널,아시아나 하이퍼마켓,기업명,유통채널:아시안마트/한인마트
영국,기업,유통채널,뉴웨이브,기업명,유통채널:수산물전문점
영국,기업,유통채널,더프레쉬피쉬샵,기업명,유통채널:수산물전문점
영국,기업,수입검역,영국 항만보건당국,기관명,수입검사:필요시;검사대상:수산물
한국,국가,생산규모,김,품목,시기:2022;생산량:550422
한국,국가,수출,김,품목,시기:2023;수출량:18599;수출금액:6873억
영국,국가,수입,김,품목,시기:2023;수입액:127억 원
영국,기관,수입검사,Port Health Authorities,기관명,검사:서류검사+필요시실물검사
영국,기관,수입검사,영국 식품기준청,기관명,검사:포장,성분,원산지
한국,국가,생산규모,김,품목,시기:2022;생산량:550422
한국,국가,수출,김,품목,시기:2023;수출량:18599;수출금액:6873억
영국,국가,수입,김,품목,시기:2023;수입액:127억 원
영국,기관,수입검사,국립수산물품질관리원,기관명,검사:서류+임상+정밀검사
영국,기관,수입검사,Port Health Authorities,기관명,검사:서류+실물
영국,기업,수입검역,수입업체,기관명,검사:서류+필요시실물
영국,기업,수입검사,수입업체,기관명,검사:서류+실물
영국,기관,수입검사,Port Health Authorities,기관명,검사:서류+실물
영국,기관,수입검사,영국 식품기준청,기관명,검사:포장,성분,원산지
영국,기관,수입검사,국립수산물품질관리원,기관명,검사:서류+임상+정밀검사
영국,기관,수입검사,Port Health Authorities,기관명,검사:서류+실물
영국,기관,수입검사,영국 식품기준청,기관명,검사:포장,성분,원산지
