엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,파스타,품목,시기:2024년
영국,국가,시장분석,HS CODE 1902.30,품목,시기:2023년
영국,국가,수입,한국,국가,수입액:37095
영국,국가,수입,글로벌,국가,수입액:325889
영국,국가,수입,중국,국가,수입액:614억 원
영국,국가,수입,리투아니아,국가,수입액:561억 원
영국,국가,수입,이탈리아,국가,수입액:337억 원
영국,국가,시장분석,편의식,품목,시기:2024년
영국,국가,시장분석,파스타,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,한국음식,품목,시기:2023년
영국,국가,시장분석,K-푸드,품목,시기:2023년
영국,국가,시장분석,HFSS 규제,정책,시기:2022년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
영국,국가,시장분석,라면,품목,시기:2024년
영국,국가,시장분석,라면,품목,시기:2023년
