엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도,국가,수입,고추장,품목,수입규모:2024,시기:2024
인도,국가,시장규모,소스 및 향신료,품목,시장규모:39.5조원;시기:2023
인도,국가,시장성장률,소스 및 향신료,품목,연평균성장률:9.3%
인도,국가,시장규모,기타 소스,품목,시장규모:32.7조원;시기:2023
인도,국가,시장성장률,기타 소스,품목,연평균성장률:9.3%
HS CODE 2103.90,품목,수입규모,인도,국가,수입액:339억 원;시기:2023
HS CODE 2103.90,품목,수입규모,한국,국가,수입액:7억 원;시기:2023
인도,국가,수입액,HS CODE 2103.90,품목,수입액:339억 원;시기:2023
인도,국가,수입액,한국,국가,수입액:7억 원;시기:2023
인도,국가,유통채널,전통 소매점,유통유형,점유율:81%
인도,국가,유통채널,하이퍼마켓/슈퍼마켓,유통유형,점유율:8%
인도,국가,유통채널,온라인,유통유형,점유율:2%
인도,국가,유통채널,기타,유통유형,점유율:9%
릴라이언스스마트,기업,유통채널,하이퍼마켓/슈퍼마켓,유통유형,홈페이지:reliancesmartbazaar.com
아마존 인도,기업,유통채널,온라인,유통유형,홈페이지:www.amazon.in
플립카트,기업,유통채널,온라인,유통유형,홈페이지:www.flipkart.com
베단트푸드솔루션즈,기업,유통채널,도매/소매,유통유형,홈페이지:www.vedantfoodsolutions.com
한국,국가,수출,고추장,품목,수출액:2024년 기준
한국,국가,수출,HS CODE 2103.90,품목,수출액:7억 원;시기:2023
인도,국가,시장 성장,고추장,품목,연평균성장률:63.2% (2019-2023)
인도,국가,시장 성장,고추장,품목,시기:2019-2023
인도,국가,시장성장률,고추장,품목,연평균성장률:63.2%
인도,국가,시장규모,고추장,품목,시장규모:39.5조원;시기:2023
인도,국가,시장성장률,고추장,품목,연평균성장률:63.2%
인도,국가,수입액,HS CODE 2103.90,품목,수입액:339억 원;시기:2023
인도,국가,수입액,한국,국가,수입액:7억 원;시기:2023
고추장,품목,생산,한국,국가,생산지:한국
고추장,품목,수입,인도,국가,수입규모:339억 원;시기:2023
고추장,품목,수입,한국,국가,수입액:7억 원;시기:2023
고추장,품목,유통채널,온라인 플랫폼,유통유형,주요 브랜드:Urban Platter, O'Food, Voila, Moi Soi
고추장,품목,유통채널,전통 소매점,유통유형,주요 브랜드:Natures Basket, Reliance Fresh
고추장,품목,유통채널,고급 식품점,유통유형,주요 브랜드:한국 한식당, 호텔, 고급 식품점
고추장,품목,인도 시장,시장규모,시장규모:2024년 예상
고추장,품목,인도 시장,시장성장률,연평균:8%
인도,국가,시장규모,고추장,품목,시장규모:2024년 예상
인도,국가,시장성장률,고추장,품목,연평균:8%
인도,국가,수입,HS CODE 2103.90,품목,수입액:339억 원;시기:2023
인도,국가,수입,한국,국가,수입액:7억 원;시기:2023
