엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도,국가,수입,라면,품목,HS CODE:1902.30;시기:2023;수입액:361억 원
인도,국가,수입,한국,국가,수입액:149억 원;시기:2023
인도,국가,생산,즉석섭취식품,품목,시장규모:88.4조원;시기:2023
인도,국가,생산,쌀파스타및면류,품목,시장규모:약366%;시기:2020-2022
인도,국가,생산,HS CODE:1902.30,품목,수입액:361억 원;시기:2023
인도,국가,수입,네팔,국가,수입액:94억 원;시기:2023
인도,국가,수입,이탈리아,국가,수입액:50억 원;시기:2023
인도,국가,수입,미국,국가,수입액:수치없음;시기:2023
인도,국가,수입,중국,국가,수입액:수치없음;시기:2023
인도,국가,수입,일본,국가,수입액:수치없음;시기:2023
인도,국가,수입,한국,국가,수입액:149억 원;시기:2023
인도,국가,생산,즉석섭취식품시장,시장,시장규모:88.4조원;시기:2023
인도,국가,생산,쌀파스타및면류시장,시장,시장규모:약366%;시기:2012-2022
인도,국가,생산,HS CODE:1902.30,품목,수입액:361억 원;시기:2023
인도,국가,수입,네팔,국가,수입액:94억 원;시기:2023
인도,국가,수입,이탈리아,국가,수입액:50억 원;시기:2023
인도,국가,수입,미국,국가,수입액:수치없음;시기:2023
인도,국가,수입,중국,국가,수입액:수치없음;시기:2023
인도,국가,수입,일본,국가,수입액:수치없음;시기:2023
인도,국가,수입,한국,국가,수입액:149억 원;시기:2023
인도,국가,생산,즉석섭취식품시장,시장,시장규모:88.4조원;시기:2023
인도,국가,생산,쌀파스타및면류시장,시장,시장규모:약366%;시기:2012-2022
인도,국가,생산,HS CODE:1902.30,품목,수입액:361억 원;시기:2023
인도,국가,수입,네팔,국가,수입액:94억 원;시기:2023
인도,국가,수입,이탈리아,국가,수입액:50억 원;시기:2023
인도,국가,수입,미국,국가,수입액:수치없음;시기:2023
인도,국가,수입,중국,국가,수입액:수치없음;시기:2023
