엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,생산,가공우유,품목,시기:2024년;국가:인도네시아
바나나 플레이버 밀크 드링크,품목,생산,가공우유,품목,용량:200ml;가격:19900루피아;시기:2024년
가공우유,품목,생산,PT. 코리누스,기업,국가:인도네시아;설립연도:2019
토코피디아,온라인쇼핑몰,판매,가공우유,품목,가격:20000루피아;용량:200ml;시기:2024년
쇼피,온라인쇼핑몰,판매,가공우유,품목,가격:6500루피아;용량:200ml;시기:2024년
라자다,온라인쇼핑몰,판매,가공우유,품목,가격:4500루피아;용량:190ml;시기:2024년
하이퍼마트,오프라인매장,판매,가공우유,품목,가격:6990루피아;용량:250ml;시기:2024년
파파야 프레쉬 갤러리,오프라인매장,판매,가공우유,품목,가격:7400루피아;용량:250ml;시기:2024년
인도마렛,오프라인매장,판매,가공우유,품목,가격:4500루피아;용량:180ml;시기:2024년
호키,오프라인매장,판매,가공우유,품목,가격:5900루피아;용량:250ml;시기:2024년
PT. 치사루아,기업,생산,가공우유,품목,설립연도:1993;국가:인도네시아;인증:FSSC 22000;할랄인증:BPJPH
PT. 울트라자야,기업,생산,가공우유,품목,설립연도:1971;국가:인도네시아;인증:FSSC 22000;할랄인증:BPOM
PT. 그린필즈,기업,생산,가공우유,품목,설립연도:1997;국가:인도네시아;인증:FSSC 22000;할랄인증:BPOM
경쟁제품,품목,생산,PT. 치사루아,기업,국가:인도네시아;설립연도:1993;인증:FSSC 22000;할랄인증:BPJPH
경쟁제품,품목,생산,PT. 울트라자야,기업,국가:인도네시아;설립연도:1971;인증:FSSC 22000;할랄인증:BPOM
경쟁제품,품목,생산,PT. 그린필즈,기업,국가:인도네시아;설립연도:1997;인증:FSSC 22000;할랄인증:BPOM
인도네시아,국가,수입,가공우유,품목,시기:2024년
PT. 사방 메라우케,기업,수입,가공우유,품목,설립연도:2012;국가:인도네시아;인증:FSSC 22000;할랄인증:BPJPH
인도네시아,국가,수입,가공우유,품목,시기:2024년
인도네시아,국가,수입,가공우유,품목,시기:2024년
