엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,시장규모,청량음료,품목,시기:2024;수량:22.7조원
인도네시아,국가,시장규모,에너지&스포츠음료,품목,시기:2024;수량:7.9조원
인도네시아,국가,수입규모,에너지음료,품목,시기:2023;수량:1169억 원
인도네시아,국가,수입규모,한국,국가,시기:2023;수량:251억 원
PT.아시아헬스에너지음료,기업,생산,에너지음료,품목,포장용량:100mL
PT.판차아르타니아가,기업,생산,에너지음료,품목,포장용량:100mL
PT.팡안세자테라센토사,기업,생산,에너지음료,품목,포장용량:100mL
PT.아시아헬스에너지음료,기업,수입,성분,비타민|타우린|카페인|인삼추출물,속성
PT.판차아르타니아가,기업,수입,성분,비타민|타우린|카페인|인삼추출물,속성
PT.팡안세자테라센토사,기업,수입,성분,비타민|타우린|카페인|인삼추출물,속성
인도네시아,국가,시장트렌드,에너지음료,특징,효능:집중력향상;에너지증진
인도네시아,국가,인기브랜드,크라팅댕,품목,성공이유:가격경쟁력,유통망
인도네시아,국가,인기브랜드,팬서,품목,성공이유:가격,효과적
인도네시아,국가,유통채널,전통거래,유형,점유율:69.7%
인도네시아,국가,유통채널,하이퍼마켓/슈퍼마켓,유형,점유율:6.1%
인도네시아,국가,유통채널,소형잡화점,유형,점유율:16.2%
인도네시아,국가,유통채널,기타,유형,점유율:4.0%
인도네시아,국가,유통채널,온라인,유형,점유율:미확인
인도네시아,국가,수출통관,BPOM등록,절차,필수사항
인도네시아,국가,수출통관,할랄인증,절차,2024년10월부터 의무화
인도네시아,국가,유해물질규제,유해물질,기준,잔류허용기준
인도네시아,국가,라벨링,성분표기,기준,언어:인도네시아어,표기:재료명,경고문구
인도네시아,국가,라벨링,성분목록,기준,유전자변형,방사선조사,알레르겐
인도네시아,국가,인증,할랄,기관,BPJPH
인도네시아,국가,인증,SNI,기관,인도네시아산업부
인도네시아,국가,인증,HACCP,기관,글로벌공통
인도네시아,국가,인증,GMP,기관,글로벌공통
인도네시아,국가,인증,ISO22000,기관,글로벌공통
인도네시아,국가,인증,Vegan Trademark,기관,글로벌공통
인도네시아,국가,라벨링,유통기한,표기,포장에 직접 인쇄
인도네시아,국가,라벨링,성분표기,기준,원재료,첨가물,경고문구
인도네시아,국가,포장,포장디자인,기준,생동감,눈에띄는색상,아이콘
인도네시아,국가,포장,포장형태,기준,페트병,농축액,분말형
인도네시아,국가,성분,비타민,효능,에너지증진,집중력향상
인도네시아,국가,성분,타우린,효능,피로회복,집중력향상
인도네시아,국가,성분,인삼추출물,효능,면역력강화,에너지증진
인도네시아,국가,홍보문구,슬로건,추천,‘세계적 집중력과 에너지’ 강조
인도네시아,국가,시장트렌드,특징,요약,에너지증진,수분보충,천연성분
인도네시아,국가,브랜드,크라팅댕,성공이유,가격경쟁력,유통망
인도네시아,국가,브랜드,팬서,성공이유,가격,효과적
인도네시아,국가,수출주의,통관,주의사항,BPOM등록,라벨표기
