엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,생산,핫소스,품목,국가:인도네시아;시기:2024년
D사,기업,생산,핫소스,품목,제품명:달고 맵고 김치 핫소스;포장:스틱형;중량:200g;가격:68480~92100루피아;시기:2024년
핫소스,품목,대체품,삼발 엑스트라 페다스,품목,원산지:인도네시아;가격:10000~20000루피아;포장:플라스틱병;중량:135ml;시기:2024년
PT 하인즈 ABC 인도네시아,기업,생산,핫소스,품목,제품명:에이비씨 삼발 엑스트라 페다스;포장:유리병;중량:275ml;가격:16000루피아;시기:2024년
PT 구나칩타 물리라사,기업,생산,핫소스,품목,제품명:두아 빌리비스 소스 카베;포장:유리병;중량:340ml;가격:23500루피아;시기:2024년
푸드스페셜라이즈,기업,생산,핫소스,품목,제품명:메프라놈 스위트 칠리 소스;포장:유리병;중량:200ml;가격:21900루피아;시기:2024년
무궁화,기업,생산,핫소스,품목,제품명:타바스코;포장:유리병;중량:60ml;가격:55000루피아;시기:2024년
파파야,기업,생산,핫소스,품목,제품명:삼발 아슬리 하룸 세답 카브;포장:유리병;중량:320ml;가격:22700루피아;시기:2024년
알파마트,기업,유통,핫소스,품목,제품명:마마스카 델리사오스 핫 라바;포장:플라스틱병;중량:320ml;가격:15800루피아;시기:2024년
PT 하인즈 ABC 인도네시아,기업,생산,핫소스,품목,제품명:에이비씨 삼발 엑스트라 페다스;포장:유리병;중량:275ml;가격:16000루피아;시기:2024년
PT 구나칩타 물리라사,기업,생산,핫소스,품목,제품명:두아 빌리비스 소스 카베;포장:유리병;중량:340ml;가격:23500루피아;시기:2024년
푸드스페셜라이즈,기업,생산,핫소스,품목,제품명:메프라놈 스위트 칠리 소스;포장:유리병;중량:200ml;가격:21900루피아;시기:2024년
무궁화,기업,생산,핫소스,품목,제품명:타바스코;포장:유리병;중량:60ml;가격:55000루피아;시기:2024년
파파야,기업,생산,핫소스,품목,제품명:삼발 아슬리 하룸 세답 카브;포장:유리병;중량:320ml;가격:22700루피아;시기:2024년
알파마트,기업,유통,핫소스,품목,제품명:마마스카 델리사오스 핫 라바;포장:플라스틱병;중량:320ml;가격:15800루피아;시기:2024년
