엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,단백질보충제,품목,시기:2024;수량:14700000000
일본,국가,시장성장률,단백질보충제,품목,시기:2024;수량:17100000000
일본,국가,고령화,단백질보충제,품목,시기:2024
일본,국가,시장규모,식이보충제,품목,시기:2022;수량:1800000000
일본,국가,시장성장률,식이보충제,품목,시기:2024;수량:1900000000
일본,국가,HS코드,단백질보충제,품목,코드:2106.90
일본,국가,수입액,HS코드2106.90,품목,수량:1200000000
일본,국가,수입액,한국,국가,수량:2083000000
일본,국가,수입액,글로벌,국가,수량:1200000000
일본,국가,수입액,미국,국가,수량:1824000000
일본,국가,수입액,중국,국가,수량:1517000000
일본,국가,수입액,태국,국가,수량:1090000000
일본,국가,시장규모,영양보충제,품목,시기:2024;수량:14700000000
일본,국가,시장규모,식이보충제,품목,시기:2022;수량:1800000000
일본,국가,시장성장률,영양보충제,품목,시기:2024;수량:17100000000
일본,국가,시장성장률,식이보충제,품목,시기:2024;수량:1900000000
일본,국가,HS코드,단백질보충제,품목,코드:2106.90
일본,국가,수입액,HS코드2106.90,품목,수량:1200000000
일본,국가,수입액,한국,국가,수량:2083000000
일본,국가,수입액,글로벌,국가,수량:1200000000
일본,국가,수입액,미국,국가,수량:1824000000
일본,국가,수입액,중국,국가,수량:1517000000
일본,국가,수입액,태국,국가,수량:1090000000
일본,국가,시장규모,단백질쉐이크,품목,시기:2024;수량:5100
일본,국가,단백질쉐이크,브랜드,제품명:자바스,원산지:일본,수량:1000g,가격:4469엔
일본,국가,단백질쉐이크,브랜드,제품명:윈존,원산지:일본,수량:1000g,가격:3480엔
일본,국가,단백질파우더,브랜드,제품명:자바스,원산지:일본,수량:280g,가격:4968엔
일본,국가,단백질파우더,브랜드,제품명:니치에,원산지:일본,수량:280g,가격:4880엔
일본,국가,단백질바,브랜드,제품명:프로틴바,원산지:일본,수량:15개,가격:2121엔
일본,국가,단백질스무디,브랜드,제품명:소이 프로틴 스무디,원산지:일본,수량:300g,가격:3693엔
일본,국가,단백질쉐이크,브랜드,제품명:자이텐바허,원산지:일본,수량:750g,가격:5980엔
일본,국가,단백질쉐이크,브랜드,제품명:윈존,원산지:일본,수량:750g,가격:5980엔
일본,국가,단백질쉐이크,브랜드,제품명:비레전드,원산지:일본,수량:750g,가격:4580엔
일본,국가,단백질쉐이크,브랜드,제품명:모리가나제과,원산지:일본,수량:15개,가격:2121엔
일본,국가,단백질쉐이크,브랜드,제품명:아사히,원산지:일본,수량:360g,가격:2376엔
일본,국가,단백질보충제,포장형태,파우치,수량:8개
일본,국가,단백질보충제,포장형태,병,수량:20개
일본,국가,단백질보충제,포장형태,대용량,수량:1kg 이상
일본,국가,단백질보충제,포장형태,대용량,수량:3kg
일본,국가,단백질보충제,포장형태,대용량,수량:2kg
일본,국가,단백질보충제,포장형태,봉지,수량:14개
일본,국가,단백질보충제,포장형태,병,수량:1kg
일본,국가,단백질보충제,포장형태,파우치,수량:280g
일본,국가,단백질보충제,포장형태,대용량,수량:1kg
일본,국가,단백질보충제,포장형태,대용량,수량:3kg
일본,국가,단백질보충제,포장형태,대용량,수량:2kg
일본,국가,단백질보충제,포장형태,봉지,수량:14개
일본,국가,단백질보충제,포장형태,병,수량:1kg
일본,국가,단백질보충제,포장형태,파우치,수량:280g
