엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,시장규모,비알코올 음료,품목,시기:2023년;시장규모:101조원
대나무수액,품목,생산,일본,국가,시기:2024;생산시기:봄(5-6월);수확방법:냉동보관 후 병입
대나무수액,품목,수입,일본,국가,HS코드:1302.19;수입액:209억 원;시기:2023년
류큐프론트,기업,브랜드,활성탄 디톡스 효과,브랜드,성분:활성탄;효과:디톡스;시장:일본
소켄비차,기업,브랜드,일본 기능성 물,브랜드,성분:활성탄;효과:디톡스
아야타카,기업,브랜드,일본 기능성 물,브랜드,성분:활성탄;효과:디톡스
이토엔,기업,브랜드,일본 기능성 물,브랜드,성분:활성탄;효과:디톡스
라이프,기업,유통,일본 슈퍼마켓,유통채널,점유율:82.6%;매장수:308개;매출액:7조 317억 원
맥스밸류,기업,유통,일본 슈퍼마켓,유통채널,점유율:높음;매장수:721개;매출액:3조 3691억 원
미츠코시백화점,기업,유통,일본 백화점,유통채널,점포수:10개;매출액:약 5조 650억 원
다이마루백화점,기업,유통,일본 백화점,유통채널,점포수:9개;매출액:약 3조 7390억 원
아마존 일본,기업,온라인쇼핑몰,일본 온라인 유통,유통채널,점유율:2021년 1위;방문횟수:5억 7270만
라쿠텐,기업,온라인쇼핑몰,일본 온라인 유통,유통채널,회원수:1억명 이상;입점매장:5만개;매출액:2조 713억 엔
대나무수액,품목,포장,일본 시장,포장,포장형태:플라스틱병;가격:약 10,000원;용량:500ml
대나무수액,품목,유통채널,추천,유통채널,추천:슈퍼마켓,아시아 식품점,온라인
대나무수액,품목,인기요인,일본 시장,요인,가격:고가(10,000원 이상);효능:영양보충,차별화 필요
대나무수액,품목,인기요인,일본 시장,요인,효과:칼슘보충,건강기능성 강조 가능
대나무수액,품목,인기요인,일본 시장,요인,포장:친환경적 포장(유리병, 종이팩 추천)
대나무수액,품목,인증,일본,인증,유기농인증,수입검역,식품위생법 준수 필요
대나무수액,품목,유통기한,일본,시선,일반적 기대:1년 이상 냉동보관 가능
대나무수액,품목,시장경쟁력,일본,경쟁력,가격(10,000원) 높음, 차별화된 가치 강조 필요
