엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,,,"시장규모;2023년:33500억 원;시기:2023년",,
한국,국가,,,"수출규모;2023년:13만 원;시기:2023년",,
메기볶음,품목,수입,일본,국가,HS CODE:1604.19;수입액:6554억 원;시기:2023년
메기볶음,품목,수출,한국,국가,중량:21800kg;금액:4억 원;시기:2023년
메기볶음,품목,수입,한국,국가,중량:2200kg;금액:7976만 원;시기:2023년
메기볶음,품목,수입,홍콩,국가,중량:2200kg;금액:7976만 원;시기:2023년
메기볶음,품목,수입,대만,국가,중량:700kg;금액:346만 원;시기:2023년
메기볶음,품목,생산,한국,기업,수출규모:5kg;금액:13만 원;시기:2023년
메기볶음,품목,생산,일본,기업,HS CODE:1604.19-1090;수입액:6554억 원;시기:2023년
메기볶음,품목,생산,한국,기업,수출규모:21800kg;금액:4억 원;시기:2023년
메기볶음,품목,생산,홍콩,기업,수출규모:2200kg;금액:7976만 원;시기:2023년
메기볶음,품목,생산,대만,기업,수출규모:700kg;금액:346만 원;시기:2023년
일본,국가,,,"HS CODE:1604.19;수입단가:734만 원/톤;시기:2023년",,
한국,국가,,,"HS CODE:1604.19;수입단가:2211만 원/톤;시기:2023년",,
한국,국가,,,"HS CODE:1604.19-1090;수입단가:2211만 원/톤;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입단가:734만 원/톤;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
한국,국가,,,"HS CODE:1604.19;수입액:27억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
일본,국가,,,"HS CODE:1604.19;수입액:6554억 원;시기:2023년",,
