엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
제주딱새우라면,품목,생산,한국,국가,국가:한국;시기:2024년 8월
제주딱새우라면,품목,생산,일본,국가,국가:일본;시기:2024년 8월
제주딱새우라면,품목,수입,일본,국가,국가:일본;시기:2024년 8월
제주딱새우라면,품목,포장,폴리프로필렌/종이,포장형태,포장 형태:폴리프로필렌/종이;시기:2024년 8월
제주딱새우라면,품목,홍보,브랜드K제품,품목,브랜드:브랜드K제품;시기:2024년 8월
세코마,기업,생산,일본,국가,국가:일본;시기:2024년 8월
닛신 식품 주식회사,기업,생산,일본,국가,국가:일본;시기:2024년 8월
닛신 식품 주식회사,기업,생산,일본,국가,국가:일본;시기:2024년 8월
A사,기업,생산,한국,국가,국가:한국;시기:2024년 8월
A사,기업,수입,일본,국가,국가:일본;시기:2024년 8월
B사,기업,생산,한국,국가,국가:한국;시기:2024년 8월
B사,기업,수입,일본,국가,국가:일본;시기:2024년 8월
장터 한국광장,유통채널,판매,한국,국가,국가:한국;시기:2024년 8월
세븐일레븐,유통채널,판매,일본,국가,국가:일본;시기:2024년 8월
패밀리 마트,유통채널,판매,일본,국가,국가:일본;시기:2024년 8월
라이프,유통채널,판매,일본,국가,국가:일본;시기:2024년 8월
아마존,유통채널,판매,일본,국가,국가:일본;시기:2024년 8월
라쿠텐,유통채널,판매,일본,국가,국가:일본;시기:2024년 8월
야후 쇼핑,유통채널,판매,일본,국가,국가:일본;시기:2024년 8월
