엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
콤부차,품목,생산,고객사 제품,품목,시기:2024년;국가:일본
콤부차,품목,대체품,파우더 콤부차,품목,시기:2024년;국가:일본
콤부차,품목,수입,한국,국가,시기:2024년
콤부차,품목,수입,일본,국가,시기:2024년
콤부차,품목,생산,T사,기업,시기:2024년
콤부차,품목,생산,S사,기업,시기:2024년
콤부차,품목,생산,모리나가 유업,기업,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리,품목,시기:2024년
콤부차,품목,대체품,콤부차 유자,품목,시기:2024년
콤부차,품목,대체품,콤부차 피치,품목,시기:2024년
콤부차,품목,대체품,콤부차 망고,품목,시기:2024년
콤부차,품목,대체품,콤부차 파인애플,품목,시기:2024년
콤부차,품목,대체품,콤부차 샤인머스캣,품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(석류),품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(레몬&진저),품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(푸룬),품목,시기:2024년
콤부차,품목,대체품,콤부차 피치,품목,시기:2024년
콤부차,품목,대체품,콤부차 망고,품목,시기:2024년
콤부차,품목,대체품,콤부차 파인애플,품목,시기:2024년
콤부차,품목,대체품,콤부차 샤인머스캣,품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(석류),품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(레몬&진저),품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(푸룬),품목,시기:2024년
콤부차,품목,대체품,콤부차 샤인머스캣,품목,시기:2024년
콤부차,품목,대체품,콤부차 파우더,품목,시기:2024년
콤부차,품목,대체품,콤부차 매실,품목,시기:2024년
콤부차,품목,대체품,콤부차 망고구아바,품목,시기:2024년
콤부차,품목,대체품,콤부차 파인애플,품목,시기:2024년
콤부차,품목,대체품,콤부차 샤인머스캣,품목,시기:2024년
콤부차,품목,대체품,콤부차 유자,품목,시기:2024년
콤부차,품목,대체품,콤부차 피치,품목,시기:2024년
콤부차,품목,대체품,콤부차 망고,품목,시기:2024년
콤부차,품목,대체품,콤부차 파인애플,품목,시기:2024년
콤부차,품목,대체품,콤부차 샤인머스캣,품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(석류),품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(레몬&진저),품목,시기:2024년
콤부차,품목,대체품,콤부차 워터 젤리(푸룬),품목,시기:2024년
