엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,생산,활광어,품목,시기:2024년
아마존,온라인쇼핑몰,판매제품,아마존,온라인쇼핑몰,제품명:사시미 히라메;국적:일본
라쿠텐,온라인쇼핑몰,판매제품,라쿠텐,온라인쇼핑몰,제품명:유도테이 플라운더 포 사시미;국적:일본
야후 쇼핑,온라인쇼핑몰,판매제품,야후 쇼핑,온라인쇼핑몰,제품명:가쓰지메 히라메;국적:일본
미츠코시 이세탄,기업,운영,미츠코시 이세탄,기업,설립연도:1949;국적:일본
호쿠신 스이산,기업,운영,호쿠신 스이산,기업,설립연도:1987;국적:일본
나카지마 스이산,기업,운영,나카지마 스이산,기업,설립연도:1925;국적:일본
이케부쿠로 쇼핑파크,쇼핑센터,운영,이케부쿠로 쇼핑파크,쇼핑센터,설립연도:1968
이샤미야,슈퍼마켓,운영,이샤미야,슈퍼마켓,설립연도:1955
마루이 백화점,백화점,운영,마루이 백화점,백화점,설립연도:1931
세이부 백화점,백화점,운영,세이부 백화점,백화점,설립연도:일본 내 22개 지점
토부 백화점,백화점,운영,토부 백화점,백화점,설립연도:1962
이케부쿠로 쇼핑파크,쇼핑센터,운영,이케부쿠로 쇼핑파크,쇼핑센터,설립연도:1954
이샤미야,슈퍼마켓,운영,이샤미야,슈퍼마켓,설립연도:1955
카부시키가이샤,도매업체,생산,활광어,품목,포장형태:원물포장
ACS Co., Ltd.,도매업체,생산,활광어,품목,포장형태:원물포장
마루카 피셔리즈,수산업체,생산,활광어,품목,포장형태:원물포장
호쿠신 스이산,수산업체,생산,활광어,품목,포장형태:원물포장
큐슈 피쉬,도매업체,생산,활광어,품목,포장형태:원물포장
한국산 활광어,품목,수입,일본시장,국적:한국
한국산 활광어,품목,수입,일본시장,포장형태:비닐 랩/플라스틱 트레이
한국산 활광어,품목,수입,일본시장,생산지역:제주도(가정)
일본,국가,유통,활광어,품목,포장형태:비닐 랩/플라스틱 트레이
일본,국가,유통,참돔,품목,포장형태:비닐 랩/플라스틱 트레이
일본,국가,유통,강도다리,품목,포장형태:비닐 랩/플라스틱 트레이
일본,국가,유통,방어,품목,포장형태:비닐 랩/플라스틱 트레이
미츠코시 이세탄,기업,홍보,자사 홈페이지,기업,홍보문구:자연산
호쿠신 스이산,기업,홍보,자사 홈페이지,기업,홍보문구:돋보이는 천연의 맛
나카지마 스이산,기업,홍보,자사 홈페이지,기업,홍보문구:오늘의 추천상품
한국수산무역협회,기관,연락처,문의,기관,속성:저작권법 준수
일본,국가,시기,조사,시기:2024년 11월 7일
