엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
캐나다,국가,시장규모,주류시장,품목,시기:2023년;시장규모:537000000000원
캐나다,국가,시장규모,하드셀처시장,품목,시기:2024년;시장규모:25900000000원
캐나다,국가,수입규모,글로벌수입액,품목,시기:2019-2023;수입액:362300000000원
캐나다,국가,수입규모,한국수입액,품목,시기:2019-2023;수입액:53000000000원
캐나다,국가,시장성장,주류시장,관계,시기:2019-2023;성장률:1.2%
캐나다,국가,시장성장,주류시장,관계,시기:2024-2028;성장률:3.4%
캐나다,국가,시장규모,주류시장,시기:2023;시장규모:53700000000원
캐나다,국가,시장규모,하드셀처시장,시기:2024;시장규모:25900000000원
캐나다,국가,수입규모,글로벌수입액,품목,시기:2019-2023;수입액:362300000000원
캐나다,국가,수입규모,한국수입액,품목,시기:2019-2023;수입액:53000000000원
캐나다,국가,시장성장,주류시장,관계,시기:2019-2023;성장률:1.2%
캐나다,국가,시장성장,주류시장,관계,시기:2024-2028;성장률:3.4%
캐나다,국가,시장규모,주류시장,시기:2023;시장규모:53700000000원
캐나다,국가,시장규모,하드셀처시장,시기:2024;시장규모:25900000000원
