엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 배추,품목,생산,한국,국가,국가:한국;시기:2024년
캐나다,국가,수입,한국산 배추,품목,국가:캐나다;시기:2024년
월마트,기업,판매,배추,품목,유통채널:온라인;시기:2024년
리얼 캐내디언 슈퍼스토어,기업,판매,배추,품목,유통채널:오프라인;시기:2024년
티앤티 슈퍼마켓,기업,판매,배추,품목,유통채널:오프라인;시기:2024년
보일라,기업,판매,배추,품목,유통채널:온라인;시기:2024년
토마스 프레시,기업,수입,배추,품목,원산지:캐나다;시기:2024년
티앤티 슈퍼마켓,기업,수입,배추,품목,원산지:캐나다;시기:2024년
보일라,기업,수입,배추,품목,원산지:캐나다;시기:2024년
한국산 배추,품목,차별화,신선도,속성,품질:높음;특징:한국에서 직수입;특징:신선;특징:고품질
한국산 배추,품목,차별화,한국산 배추,품목,특징:한국산;특징:신선;특징:품질우수
배추,품목,대체품,양배추,품목,관계:대체품
배추,품목,생산,한국,국가,국가:한국;시기:2024년
배추,품목,수입,캐나다,국가,국가:캐나다;시기:2024년
배추,품목,생산,캐나다,국가,국가:캐나다;시기:2024년
배추,품목,생산,미국,국가,국가:미국;시기:2024년
배추,품목,생산,중국,국가,국가:중국;시기:2024년
