엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
캐나다,국가,수입,복숭아,품목,시기:2024년;국가:캐나다
K-Peach,품목,생산,캐나다,국가,시기:2024년;국가:캐나다
마운틴 뷰 프루트,기업,생산,복숭아,품목,시기:2024년;국가:미국
마운틴 뷰 프루트,기업,수입,캐나다,국가,시기:2024년;국가:캐나다
프레지던트 초이스,기업,생산,복숭아,품목,시기:2024년;국가:캐나다
프레지던트 초이스,기업,수입,캐나다,국가,시기:2024년;국가:캐나다
프레쉬 테이스트 프로듀스,기업,생산,복숭아,품목,시기:2024년;국가:캐나다
프레쉬 테이스트 프로듀스,기업,수입,캐나다,국가,시기:2024년;국가:캐나다
월마트,기업,수입,복숭아,품목,시기:2024년;국가:캐나다
리얼 캐내디언 슈퍼스토어,기업,수입,복숭아,품목,시기:2024년;국가:캐나다
한남 슈퍼마켓,기업,수입,복숭아,품목,시기:2024년;국가:캐나다
에이치마트,기업,수입,복숭아,품목,시기:2024년;국가:캐나다
세이브 온 푸드,기업,수입,복숭아,품목,시기:2024년;국가:캐나다
복숭아,품목,당도,약 13브릭스,속성,시기:2024년;국가:캐나다
한국산 복숭아,품목,생산,한국,국가,시기:2024년
한국산 복숭아,품목,수입,캐나다,국가,시기:2024년
복숭아,품목,포장,플라스틱 상자,포장형태,시기:2024년
복숭아,품목,포장,벌크,포장형태,시기:2024년
복숭아,품목,포장,종이 상자,포장형태,시기:2024년
복숭아,품목,중량,약 4kg,속성,시기:2024년
복숭아,품목,중량,약 1파운드,속성,시기:2024년
복숭아,품목,가격,약 11.13캐나다달러/kg,속성,시기:2024년
한국산 복숭아,품목,가격,약 6.99캐나다달러/500g,속성,시기:2024년
