엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
캐나다,국가,시장규모,무알코올음료,품목,시기:2024;수입규모:27700억 원
캐나다,국가,시장규모,소화제정장제,품목,시기:2024;수입규모:3392억 원
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2021;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2022;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2023;수입액:4900만 달러
캐나다,국가,시장규모,유산균음료,품목,시기:2024;시장규모:약 27.7조 원
캐나다,국가,시장성장률,무알코올음료,관계,시기:2024-2028;연평균성장률:1.6%
캐나다,국가,시장성장률,소화제정장제,관계,시기:2024-2028;연평균성장률:2.0%
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2021;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2022;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2023;수입액:4900만 달러
캐나다,국가,시장규모,유산균음료,품목,시기:2024;시장규모:약 27.7조 원
캐나다,국가,시장성장률,무알코올음료,관계,시기:2024-2028;연평균성장률:1.6%
캐나다,국가,시장성장률,소화제정장제,관계,시기:2024-2028;연평균성장률:2.0%
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2021;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2022;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2023;수입액:4900만 달러
캐나다,국가,시장규모,유산균음료,품목,시기:2024;시장규모:약 27.7조 원
캐나다,국가,시장성장률,무알코올음료,관계,시기:2024-2028;연평균성장률:1.6%
캐나다,국가,시장성장률,소화제정장제,관계,시기:2024-2028;연평균성장률:2.0%
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2021;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2022;수입액:4900만 달러
캐나다,국가,수입,HS CODE 0403.20,품목,시기:2023;수입액:4900만 달러
