엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
태국,국가,수입,샤인머스캣,품목,수입규모:2024;시기:2024년
샤인머스캣,품목,생산,일본,국가,원산지:일본
샤인머스캣,품목,생산,중국,국가,원산지:중국
샤인머스캣,품목,생산,한국,국가,원산지:한국
태국,국가,수입,중국,국가,수입량:2583억원;시기:2023
태국,국가,수입,호주,국가,수입량:328억;시기:2023
태국,국가,수입,페루,국가,수입량:102억;시기:2023
태국,국가,수입,한국,국가,수입량:28억;시기:2023
HS CODE 0806.10,코드,수입,태국,국가,수입액:3912억원;시기:2023
HS CODE 0806.10,코드,수입,한국,국가,수입액:28억;시기:2023
HS CODE 0806.10,코드,수입,중국,국가,수입액:3258억
HS CODE 0806.10,코드,수입,호주,국가,수입액:328억
HS CODE 0806.10,코드,수입,페루,국가,수입액:102억
샤인머스캣,품목,수입,중국,국가,수입량:145739;시기:2019
샤인머스캣,품목,수입,한국,국가,수입량:145;시기:2019
샤인머스캣,품목,수입,일본,국가,수입량:650g;시기:2023
샤인머스캣,품목,수입,중국,국가,수입량:1500g;시기:2023
샤인머스캣,품목,수입,대만,국가,수입량:699-899바트;시기:2023
태국,국가,생산,자국,국가,시장규모:6.3조원;시기:2023
태국,국가,성장률,신선과일시장,CAGR:3.8%;시기:2024-2028
태국,국가,성장률,베리및포도시장,CAGR:2.8%;시기:2019-2023
태국,국가,성장률,베리및포도시장,CAGR:3.6%;시기:2024-2028
태국,국가,수입,HS CODE 0806.10,수입액:3912억원;시기:2023
태국,국가,수입,한국,수입액:28억;시기:2023
태국,국가,수입,중국,수입액:3258억;시기:2023
태국,국가,수입,호주,수입액:328억;시기:2023
태국,국가,수입,페루,수입액:102억;시기:2023
태국,국가,수입,대만,수입액:699-899바트;시기:2023
태국,국가,수입,미국,수입량,수입액:최대;시기:2023
태국,국가,수입,일본,수입량,수입액:650g;시기:2023
태국,국가,수입,중국,수입량,수입액:1500g;시기:2023
태국,국가,수입,대만,수입량,수입액:699-899바트;시기:2023
태국,국가,수입,한국,수입량,수입액:145;시기:2019
태국,국가,수입,중국,수입량,수입액:145739;시기:2019
태국,국가,수입,일본,수입량,수입액:650g;시기:2023
태국,국가,수입,중국,수입량,수입액:1500g;시기:2023
태국,국가,수입,대만,수입량,수입액:699-899바트;시기:2023
