엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
H사,기업,생산,과실주(과일소주),품목,제품명:더 찾을수록;중량:360ml*6병;가격:12000원;유형:과실주;특징:다양한 맛 즐김
한국,국가,수입,H사,기업,원산지:한국
트럭디올,온라인쇼핑몰,취급,과실주(과일소주),품목,
미그로스,온라인쇼핑몰,취급,과실주(과일소주),품목,
힘시부라다,온라인쇼핑몰,취급,과실주(과일소주),품목,
이탈리아,국가,수입,케글레비치,기업,원산지:이탈리아
터키,국가,수입,세빌렌 샤랍 사나이,기업,원산지:터키
영국,국가,수입,비프이터,기업,원산지:영국
이탈리아,국가,수입,벨리니 카넬라,기업,원산지:이탈리아
이탈리아,국가,수입,케글레비치,기업,원산지:이탈리아
터키,국가,수입,세빌렌 샤랍 사나이,기업,원산지:터키
튀르키예,국가,수입,미그로스,기업,원산지:튀르키예
튀르키예,국가,수입,에틸레르 쿠루예미슈,기업,원산지:튀르키예
튀르키예,국가,수입,서울 플라자,기업,원산지:한국
튀르키예,국가,수입,마센 테켈 샵,기업,원산지:터키
세빌렌 샤랍 사나이,기업,생산,과실주,품목,제품명:세빌렌 야반 메르시니 샤라브;중량:750ml;가격:349리라;특징:포장 현지화
케글레비치,기업,생산,과실주,품목,제품명:케글레비치 리큐어 페스카;중량:700ml;가격:561리라;특징:포장 현지화
A사,기업,생산,과실주,품목,제품명:중량:350ml;가격:480리라;특징:한국산,포장 현지화
세빌렌 샤랍 사나이,기업,생산,과실주,품목,제품명:세빌렌 야반 메르시니 샤라브;중량:750ml;가격:349리라;특징:포장 현지화
케글레비치,기업,생산,과실주,품목,제품명:케글레비치 리큐어 Pesca;중량:700ml;가격:561리라;특징:포장 현지화
벨리니 카넬라,기업,생산,과실주,품목,제품명:벨리니 카넬라;중량:750ml;가격:800리라;특징:복숭아맛,포장 현지화
비프이터,기업,생산,과실주,품목,제품명:비프이터 런던 핑크;중량:700ml;가격:561리라;특징:사과맛,포장 현지화
케글레비치,기업,생산,과실주,품목,제품명:케글레비치 리큐어 Pesca;중량:700ml;가격:561리라;특징:복숭아향,포장 현지화
세빌렌 샤랍 사나이,기업,생산,과실주,품목,제품명:세빌렌 야반 메르시니 샤라브;중량:750ml;가격:349리라;특징:포장 현지화
이탈리아,국가,수입,케글레비치,기업,원산지:이탈리아
터키,국가,수입,세빌렌 샤랍 사나이,기업,원산지:터키
한국,국가,수입,A사,기업,원산지:한국
튀르키예,국가,수입,서울 플라자,기업,원산지:한국
튀르키예,국가,수입,미그로스,기업,원산지:튀르키예
튀르키예,국가,수입,에틸레르 쿠루예미슈,기업,원산지:튀르키예
