엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
프랑스,국가,시장규모,파스타,품목,시기:2024;시장규모:7.5조원
프랑스,국가,시장성,편의식,품목,시기:2024;시장규모:12.3조원
프랑스,국가,수입액,프랑스 對글로벌 수입액,품목,시기:2019-2023;수입액:115728억 원
프랑스,국가,수입액,프랑스 對한국 수입액,품목,시기:2019-2023;수입액:4952억 원
프랑스,국가,수입액,HS CODE 1902.30 수입액,품목,시기:2019;수입액:115728억 원
프랑스,국가,수입액,HS CODE 1902.30 수입액,품목,시기:2023;수입액:2491억 원
프랑스,국가,수입액,HS CODE 1902.30 수입액,국가,시기:2023;수입액:182억 원
프랑스,국가,수입액,HS CODE 1902.30 수입액,국가,시기:2023;수입액:361억 원(이탈리아),347억 원(태국),302억 원(중국)
프랑스,국가,시장 성장률,파스타,품목,시기:2024-2028;성장률:2.7%
프랑스,국가,시장 성장률,편의식,품목,시기:2024-2028;성장률:2.8%
프랑스,국가,시장 성장률,메밀국수,품목,시기:2024-2028;성장률:2.7%
프랑스,국가,시장 성장률,한국식메밀국수,품목,시기:2024-2028;성장률:높음
프랑스,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,시기:2024;점유율:47.7%
프랑스,국가,유통채널,온라인,유통채널,시기:2024;점유율:22.1%
프랑스,국가,유통채널,전문점,유통채널,시기:2024;점유율:8.4%
프랑스,국가,유통채널,편의점,유통채널,시기:2024;점유율:3.2%
프랑스,국가,유통채널,기타,유통채널,시기:2024;점유율:22.1%
라그랑드에피세리,기업,유통채널,백화점,관계,입점:고급 식료품,시기:2024
갤러리라파예트,기업,유통채널,백화점,관계,입점:고급 식료품,시기:2024
르끌레어,기업,유통채널,하이퍼마켓/슈퍼마켓,관계,입점:대형 슈퍼마켓,시기:2024
까르푸,기업,유통채널,하이퍼마켓/슈퍼마켓,관계,입점:대형 슈퍼마켓,시기:2024
탕프레르,기업,유통채널,아시안마트,관계,입점:한국 식품,시기:2024
파리스토어,기업,유통채널,아시안마트,관계,입점:한국 식품,시기:2024
이외,기업,유통채널,기타,관계,입점:한국 식품,시기:2024
프랑스,국가,규제,EU 포장재 규제,관계,시기:2030;목표감축:5%
프랑스,국가,규제,EU 플라스틱 규제,관계,시기:2019;내용:일회용 플라스틱 금지
프랑스,국가,규제,식품 라벨링,관계,내용:성분표기,영양정보,원산지 표기
프랑스,국가,인증,HACCP,관계,발급기관:한국식품안전관리인증원
프랑스,국가,인증,ISO 22000,관계,발급기관:글로벌 인증기관
프랑스,국가,인증,IFS,관계,발급기관:글로벌 인증기관
프랑스,국가,인증,BRCGS,관계,발급기관:영국 소매업 협회
프랑스,국가,인증,FSSC 22000,관계,발급기관:글로벌 인증기관
프랑스,국가,인증,유기가공식품,관계,발급기관:농림축산식품부
프랑스,국가,인증,탄소저감라벨,관계,내용:환경 친화적 인증
프랑스,국가,인증,ESG 인증,관계,내용:환경·사회·지배구조
프랑스,국가,인증,뉴트리-스코어,관계,내용:영양성분 평가 시스템
프랑스,국가,규제,EU 식품첨가물 규제,관계,내용:첨가물 사용 기준
프랑스,국가,규제,EU 유해물질 규제,관계,내용:잔류허용기준
프랑스,국가,규제,알레르기 표기,관계,내용:성분 및 알레르기 유발물질 표기
프랑스,국가,규제,포장재 규제,관계,내용:일회용 플라스틱 제한
프랑스,국가,라벨링,제품명,관계,내용:법적 이름 또는 설명명
프랑스,국가,라벨링,성분표,관계,내용:중량, 비율, 순서 표기
프랑스,국가,라벨링,보관방법,관계,내용:특별 보관 조건 표기
프랑스,국가,라벨링,원산지,관계,내용:원산지 표기 규정
프랑스,국가,라벨링,조리방법,관계,내용:조리법 또는 사용법 표기
프랑스,국가,라벨링,영양정보,관계,내용:칼로리, 지방, 단백질 등 표기
프랑스,국가,라벨링,언어,관계,내용:프랑스어 필수, 다국어 가능
프랑스,국가,라벨링,글자크기,관계,내용:최소 글자 크기 규정
프랑스,국가,수출,통관절차,관계,내용:EORI 번호, BTI 사전심사
프랑스,국가,수출,세관등록,관계,내용:EORI 발급 필요
프랑스,국가,수출,통관,관계,내용:EU 규정 준수, 규제 숙지
프랑스,국가,수출,수출인증,관계,내용:HACCP, FSSC 22000, BRCGS
프랑스,국가,수출,수출절차,관계,내용:서류 준비, BTI 신청
프랑스,국가,수출,수출혜택,관계,내용:AEO 등록 시 통관 혜택
프랑스,국가,수출,수출규제,관계,내용:EU 환경 규제, 포장재 규제
프랑스,국가,시장트렌드,건강식품,품목,시기:2024;트렌드:무설탕, 무지방
프랑스,국가,시장트렌드,한국식품,품목,시기:2024;트렌드:수요 증가
프랑스,국가,시장트렌드,채식,품목,시기:2024;트렌드:채식 비율 증가
